word1,word2,gpt-4_response,gpt4_rating
practice,repeat,7,7
find,determine,8,8
rip,tear,9,9
nag,annoy,8,8
hit,connect,4,4
yell,scream,9,9
hoot,holler,8,8
mend,break,2,2
organize,gather,5,5
suggest,advise,8,8
overwhelm,confuse,7,7
ask,please,4,4
change,affect,7,7
amuse,entertain,9,9
haul,take,7,7
suppose,imagine,8,8
follow,come,5,5
spend,save,4,4
tap,touch,7,7
fling,shoot,5,5
meet,introduce,5,5
rationalize,justify,8,8
update,review,5,5
sew,weave,7,7
shrink,grow,4,4
fail,try,4,4
destroy,smash,8,8
steal,sneak,4,4
retreat,go,4,4
run,rush,8,8
lean,stand,4,4
return,take,4,4
rejoice,celebrate,8,8
choke,die,7,7
hate,shun,4,4
disown,renounce,9,9
reject,refuse,9,9
teach,show,6,6
fight,disagree,7,7
debate,decide,5,5
follow,chase,7,7
reject,disown,7,7
desire,yearn,9,9
die,smother,4,4
unite,combine,8,8
tell,notify,8,8
defrost,freeze,3,3
triumph,succeed,8,8
say,announce,8,8
destroy,explode,7,7
enjoy,participate,4,4
knit,crochet,8,8
laugh,tickle,4,4
tell,convince,7,7
achieve,finish,5,5
scratch,rub,5,5
stamp,lick,3,3
hurt,ache,8,8
wrap,cover,7,7
help,hurt,3,3
think,reflect,8,8
follow,lead,4,4
run,operate,7,7
ignore,hurt,4,4
deny,prohibit,7,7
realize,set,3,3
exchange,swap,9,9
assume,judge,6,6
compound,mix,7,7
destroy,crush,8,8
bleach,wash,6,6
accuse,defend,3,3
fade,vanish,8,8
demand,command,5,5
decline,descend,7,7
spell,hypnotize,5,5
enter,admit,7,7
poach,boil,7,7
overcome,dominate,6,6
assume,suppose,8,8
deliver,give,7,7
prove,show,8,8
detach,attach,2,2
blow,hit,7,7
detach,separate,9,9
assist,aid,9,9
chew,bite,8,8
float,swim,7,7
squeal,laugh,4,4
need,urge,7,7
spill,pour,7,7
acquire,accumulate,8,8
retreat,run,4,4
hurt,fall,3,3
respond,remark,6,6
correct,fix,7,7
remain,stay,9,9
blame,hate,4,4
flip,flap,7,7
glide,flow,7,7
drink,quench,7,7
have,retain,8,8
scratch,hurt,5,5
go,leave,8,8
begin,stop,2,2
scribble,write,7,7
think,feel,7,7
swim,dip,7,7
ascend,descend,4,4
erode,deteriorate,9,9
evict,leave,5,5
flush,blush,4,4
rearrange,organize,8,8
smell,sweat,3,3
dance,entertain,5,5
stumble,fall,8,8
demand,reprimand,3,3
humiliate,insult,8,8
crunch,bite,7,7
tell,announce,8,8
smash,break,8,8
stop,adjourn,7,7
wash,soak,7,7
run,skip,7,7
reflect,shine,7,7
excuse,interrupt,4,4
speak,tell,7,7
complain,disagree,4,4
punch,fight,7,7
marry,wed,9,9
entertain,show,7,7
push,fight,5,5
learn,read,7,7
shun,reject,8,8
decline,reject,7,7
explain,describe,7,7
deny,admit,3,3
leave,excuse,5,5
dismiss,excuse,7,7
think,ponder,9,9
hit,pinch,5,5
frighten,scare,9,9
whistle,hum,7,7
play,perform,8,8
leave,take,4,4
sell,barter,8,8
wreck,drive,3,3
get,acquire,8,8
arrest,prosecute,7,7
snooze,doze,9,9
condemn,accuse,7,7
help,cry,3,3
conquer,dominate,8,8
receive,acquire,8,8
unite,marry,7,7
retreat,advance,1,1
catch,chase,7,7
jerk,pull,7,7
assault,hurt,7,7
travel,roam,8,8
attack,fight,8,8
hitch,attach,7,7
bother,interrupt,5,5
receive,deliver,7,7
capture,take,7,7
move,leave,7,7
achieve,try,5,5
retreat,charge,3,3
fasten,hold,7,7
rationalize,understand,7,7
restore,fix,8,8
come,leave,4,4
aggravate,frustrate,8,8
spank,hurt,7,7
smell,taste,7,7
lower,raise,3,3
sink,dip,4,4
hate,ignore,3,3
strain,lift,4,4
console,comfort,7,7
play,lead,3,3
talk,console,4,4
tease,bother,7,7
deny,lie,7,7
excel,advance,7,7
annoy,irritate,9,9
retreat,attack,2,2
drink,pop,5,5
spank,hit,8,8
shatter,break,9,9
lower,reduce,8,8
reappear,fix,2,2
sneak,hide,7,7
breathe,smother,3,3
adjourn,leave,7,7
persuade,urge,8,8
accumulate,gain,8,8
wiggle,move,7,7
renounce,deny,8,8
miss,hit,4,4
vary,differ,9,9
move,change,7,7
tow,move,7,7
tell,describe,8,8
punish,hit,5,5
talk,listen,4,4
urge,beg,7,7
grab,clench,7,7
heal,help,7,7
let,permit,9,9
search,look,8,8
lie,promise,4,4
set,swing,2,2
jog,run,8,8
stain,tarnish,8,8
talk,say,8,8
diminish,fade,7,7
ignore,disregard,9,9
die,kill,7,7
spank,slap,8,8
sew,crochet,7,7
talk,associate,4,4
touch,kiss,7,7
loosen,tie,4,4
lie,assume,4,4
gather,collect,8,8
punish,reprimand,8,8
have,want,5,5
tote,carry,8,8
fly,soar,8,8
reduce,save,7,7
stop,stay,5,5
spank,cry,3,3
obey,follow,7,7
lose,control,3,3
glide,hang,4,4
grab,take,8,8
hop,jump,8,8
argue,disagree,8,8
slide,move,5,5
incline,tend,7,7
stop,hesitate,7,7
toss,fling,8,8
kneel,beg,4,4
stare,look,8,8
disintegrate,perish,7,7
dislike,shun,7,7
deposit,return,4,4
stop,disallow,8,8
walk,crawl,7,7
renounce,reject,8,8
snore,snooze,5,5
look,see,8,8
assault,aggravate,4,4
obtain,have,7,7
beware,watch,5,5
talk,rap,5,5
tell,lie,4,4
cover,spread,7,7
descend,leave,5,5
take,snatch,7,7
call,bluff,3,3
cover,hide,8,8
pick,elect,7,7
smear,rub,7,7
keep,save,8,8
decrease,increase,4,4
disprove,disagree,4,4
sow,sew,2,2
claim,sue,5,5
allow,go,4,4
triumph,win,8,8
forget,leave,4,4
sit,lounge,7,7
disappear,dissolve,6,6
defend,stand,3,3
overcome,conquer,9,9
deliver,bring,8,8
kneel,sit,7,7
hurt,limp,3,3
disprove,reject,7,7
yell,holler,9,9
make,design,7,7
like,want,7,7
acquire,gain,9,9
regret,dislike,4,4
accept,understand,5,5
wiggle,giggle,3,3
hop,skip,8,8
push,pull,5,5
veer,turn,8,8
assume,know,7,7
hurt,condemn,3,3
defrost,thaw,9,9
scream,roar,7,7
convince,talk,5,5
retreat,leave,7,7
annoy,confuse,4,4
reject,ignore,7,7
destroy,diminish,5,5
haul,lift,7,7
wait,hesitate,7,7
give,sell,5,5
rise,lower,2,2
hurt,cry,4,4
multiply,increase,7,7
stop,flow,3,3
prosecute,try,8,8
justify,clarify,5,5
acknowledge,greet,4,4
scold,yell,7,7
shuffle,travel,3,3
lose,fail,7,7
speak,renounce,2,2
come,go,7,7
yell,criticize,5,5
bake,make,7,7
originate,start,8,8
attack,tackle,7,7
use,operate,8,8
run,flow,5,5
collect,acquire,8,8
move,turn,5,5
enter,leave,3,3
engage,marry,8,8
grab,reach,7,7
agree,disagree,1,1
replace,fill,4,4
hurt,whip,3,3
whip,punish,7,7
yell,roar,7,7
hurt,feel,4,4
fall,bounce,3,3
choose,pick,9,9
sew,knit,7,7
perish,leave,3,3
ponder,toil,4,4
wipe,spill,4,4
affect,respond,5,5
deliver,send,8,8
fix,mend,9,9
evaluate,examine,8,8
become,grow,7,7
learn,know,7,7
glare,reflect,5,5
cook,boil,5,5
lead,direct,8,8
talk,reply,6,6
inspect,search,7,7
respond,talk,7,7
argue,differ,5,5
betray,cheat,7,7
decrease,decline,9,9
increase,reduce,2,2
blur,smear,7,7
irritate,frustrate,8,8
sell,hustle,6,6
release,unload,5,5
want,demand,7,7
swear,damn,7,7
squint,glare,5,5
yell,hoot,5,5
result,finish,7,7
kick,hurt,5,5
incline,decline,8,8
leave,ascend,4,4
be,become,5,5
hypnotize,control,7,7
leave,return,4,4
despair,upset,7,7
determine,guess,6,6
beg,ask,7,7
kneel,bend,7,7
pelt,hit,7,7
lie,admit,2,2
pinch,punch,4,4
hit,pat,5,5
prosecute,charge,7,7
convince,explain,7,7
retain,keep,9,9
magnify,look,4,4
join,unite,9,9
differ,disagree,7,7
lie,disbelieve,4,4
annoy,mimic,2,2
retain,hold,8,8
exist,live,7,7
keep,find,4,4
receive,take,7,7
know,think,7,7
send,get,4,4
recommend,suggest,9,9
beat,whip,8,8
pelt,throw,5,5
win,lose,3,3
hit,punch,8,8
appear,reappear,9,9
like,adore,7,7
jump,flip,7,7
magnify,see,4,4
argue,discuss,7,7
guess,know,7,7
remark,say,7,7
burst,explode,9,9
notify,inform,9,9
prepare,fix,5,5
erode,decay,8,8
do,participate,8,8
reduce,diminish,9,9
explain,understand,7,7
crawl,run,5,5
fasten,attach,9,9
embarrass,blush,7,7
hurt,bite,4,4
ignore,avoid,7,7
cry,sob,9,9
flex,stretch,8,8
deny,forbid,7,7
pinch,squeeze,8,8
conquer,win,8,8
grant,give,8,8
perish,disappear,5,5
prohibit,ban,9,9
shrink,reduce,8,8
command,tell,8,8
teach,inform,7,7
waste,decompose,4,4
demand,supply,5,5
cry,upset,7,7
suggest,say,5,5
beg,need,4,4
lose,gain,4,4
abduct,kidnap,9,9
give,disown,3,3
sway,swing,7,7
urge,crave,8,8
broil,cook,8,8
disallow,forbid,9,9
melt,defrost,8,8
reproduce,breed,8,8
invent,make,7,7
spell,write,7,7
push,shove,9,9
carry,hold,8,8
slide,swing,7,7
collect,keep,7,7
stray,wander,7,7
remove,strip,7,7
decompose,destroy,7,7
crackle,crunch,7,7
think,hesitate,4,4
pretend,imagine,7,7
bump,hit,7,7
appear,come,5,5
examine,inspect,9,9
increase,accelerate,7,7
presume,believe,8,8
acknowledge,exist,3,3
grind,grate,7,7
pop,explode,7,7
tell,listen,3,3
drive,permit,3,3
break,unite,2,2
smell,touch,4,4
release,relax,5,5
beat,abuse,7,7
bother,aggravate,8,8
grasp,hold,8,8
take,seize,8,8
acquire,buy,8,8
create,reproduce,5,5
explode,blow,7,7
perceive,think,7,7
wander,search,7,7
whisper,scream,4,4
punch,drink,4,4
grab,pick,7,7
bend,stretch,7,7
pour,drip,7,7
yell,announce,4,4
inform,ask,4,4
acknowledge,accept,7,7
repair,replace,6,6
destroy,corrupt,5,5
look,review,5,5
crush,grind,7,7
do,stop,3,3
go,strive,7,7
pop,burst,7,7
make,break,3,3
weave,knit,7,7
lose,gamble,4,4
lean,lay,4,4
determine,decide,9,9
hurt,strain,5,5
adore,admire,7,7
pay,treat,4,4
usurp,use,2,2
wander,worry,3,3
disguise,hide,7,7
steal,cheat,6,6
change,differ,5,5
observe,see,8,8
cough,sneeze,7,7
prefer,want,8,8
leave,flee,8,8
mistreat,hurt,8,8
kill,overpower,7,7
cry,tease,3,3
defend,justify,7,7
depart,go,8,8
design,invent,7,7
knock,tap,8,8
let,do,5,5
disperse,separate,8,8
reap,sow,7,7
squeak,squeal,8,8
begin,finish,3,3
throw,fling,9,9
interrupt,break,7,7
justify,argue,7,7
pluck,pull,7,7
evaluate,judge,8,8
diminish,shrink,9,9
flush,embarrass,4,4
make,create,9,9
change,become,7,7
advise,help,7,7
bump,knock,7,7
pounce,hit,5,5
crackle,snap,8,8
listen,watch,7,7
hurt,burn,5,5
achieve,excel,7,7
surprise,overwhelm,5,5
leave,visit,4,4
arrest,suspect,4,4
accomplish,finish,8,8
tell,predict,7,7
spring,bounce,6,6
accept,decline,2,2
laugh,enjoy,5,5
admit,say,5,5
win,overcome,8,8
portray,imitate,7,7
rip,mend,3,3
hold,stay,5,5
choke,smother,8,8
cook,fry,7,7
dunk,soak,8,8
jump,pounce,8,8
help,scream,2,2
grab,snatch,9,9
humiliate,laugh,4,4
review,read,5,5
wear,fit,5,5
confuse,frustrate,7,7
go,enter,8,8
repeat,mimic,7,7
fly,ascend,7,7
do,dare,4,4
win,accomplish,8,8
vanish,diminish,7,7
dance,tap,7,7
fit,trim,7,7
send,give,7,7
add,accumulate,8,8
give,lend,7,7
disappoint,betray,4,4
forbid,stop,7,7
blame,accuse,8,8
disallow,discourage,7,7
recommend,tell,5,5
win,dominate,7,7
dissolve,melt,8,8
slither,crawl,7,7
grab,seize,9,9
swim,drown,4,4
discover,invent,6,6
tell,remind,7,7
call,talk,7,7
justify,explain,7,7
tease,play,5,5
fill,cover,5,5
help,warn,4,4
put,give,5,5
avoid,shun,9,9
relax,soothe,7,7
hate,despise,9,9
understand,clarify,5,5
fix,heal,7,7
capture,release,2,2
achieve,strive,7,7
condemn,ridicule,5,5
educate,inform,7,7
upset,disappoint,7,7
reduce,subtract,8,8
follow,trail,5,5
hustle,dance,5,5
cast,break,4,4
greet,meet,7,7
breathe,exhale,8,8
attend,come,5,5
hurt,insult,5,5
strive,seek,7,7
mend,heal,8,8
steal,snatch,8,8
lie,lay,7,7
stop,wait,7,7
incline,rise,8,8
swim,meet,2,2
change,turn,5,5
forgive,beg,3,3
hide,scare,3,3
rearrange,move,7,7
build,construct,9,9
hit,attack,8,8
criticize,offend,4,4
lick,taste,8,8
succeed,achieve,9,9
exchange,return,7,7
annoy,disturb,7,7
broil,burn,7,7
convince,agree,6,6
complain,annoy,4,4
slap,pat,7,7
fasten,loosen,3,3
overcome,triumph,8,8
scratch,scribble,5,5
crash,smash,8,8
sip,swallow,7,7
sniff,scratch,4,4
decide,analyze,5,5
swap,fly,1,1
avoid,miss,7,7
try,convince,4,4
enjoy,live,4,4
respect,acknowledge,5,5
concentrate,learn,5,5
perish,die,9,9
slip,slide,8,8
irritate,bother,9,9
destroy,make,2,2
divide,separate,8,8
lounge,relax,7,7
appear,show,7,7
toss,catch,5,5
leap,bound,8,8
change,shift,7,7
hurt,disappoint,5,5
conquer,control,7,7
despair,cry,4,4
divide,split,9,9
bluff,lie,7,7
sip,slurp,8,8
cook,poach,7,7
smash,crush,8,8
sneeze,sniff,5,5
throw,kick,7,7
flap,cover,5,5
dip,chew,3,3
pull,press,7,7
embarrass,insult,4,4
talk,persuade,7,7
disguise,cover,5,5
shine,rise,4,4
hold,seize,8,8
get,give,5,5
attend,leave,2,2
prosper,gain,7,7
predict,guess,8,8
hamper,bother,7,7
move,walk,7,7
stir,blend,7,7
leave,travel,7,7
hesitate,pause,8,8
tap,rap,2,2
combine,add,7,7
like,enjoy,8,8
travel,fly,7,7
move,haul,7,7
die,condemn,4,4
sting,bite,7,7
build,accumulate,4,4
wear,adorn,8,8
pick,prefer,8,8
wag,move,4,4
send,return,5,5
hurt,squeeze,3,3
separate,remove,5,5
ignore,forget,7,7
depend,rely,9,9
release,give,7,7
soak,drench,8,8
advance,pay,3,3
catch,lose,3,3
roam,follow,5,5
read,spell,5,5
excel,win,7,7
forbid,allow,1,1
tan,burn,4,4
pause,stop,8,8
confess,deny,3,3
express,say,7,7
change,rearrange,7,7
win,defeat,9,9
disintegrate,destroy,8,8
prohibit,allow,1,1
allow,ban,2,2
swallow,gulp,8,8
shuffle,ride,3,3
argue,agree,3,3
slip,cover,3,3
punish,scold,7,7
fall,stand,3,3
confess,tell,7,7
condemn,punish,8,8
fade,tarnish,7,7
fade,disappear,8,8
urge,suggest,7,7
confuse,explain,3,3
demolish,break,7,7
attend,go,7,7
rap,knock,4,4
direct,steer,7,7
transplant,replace,7,7
hurt,soar,2,2
crunch,break,7,7
warn,tell,7,7
recruit,get,4,4
decorate,adorn,9,9
run,hustle,7,7
have,give,4,4
sip,stir,4,4
chop,grate,7,7
suspect,think,5,5
hate,like,2,2
prohibit,disallow,9,9
aim,shoot,7,7
