word,gpt-4_response,gpt4_rating
adorable,4,4.0
adoration,3,3.0
adore,4,4.0
adorn,3,3.0
adrenaline,3,3.0
adult,2,2.0
adulterer,3,3.0
adulterous,3,3.0
adultery,2,2.0
advance,3,3.0
advanced,3,3.0
advancement,3,3.0
advantage,2,2.0
advantageous,2,2.0
advent,3,3.0
adventure,4,4.0
adventurer,3,3.0
adventuresome,3,3.0
adventurous,3,3.0
adverb,2,2.0
adversary,3,3.0
adverse,2,2.0
adversity,3,3.0
advertise,2,2.0
advertisement,2,2.0
advice,2,2.0
advisable,2,2.0
advise,2,2.0
advised,2,2.0
advisedly,2,2.0
adviser,2,2.0
advisory,2,2.0
aerial,4,4.0
aerobic,3,3.0
aerosol,3,3.0
aesthetical,3,3.0
aesthetically,2,2.0
aestheticism,2,2.0
affable,3,3.0
affair,2,2.0
affect,2,2.0
affecting,3,3.0
affection,4,4.0
affectionate,4,4.0
affective,3,3.0
affiliate,2,2.0
affirmation,3,3.0
afflict,4,4.0
affliction,4,4.0
affluent,2,2.0
afford,2,2.0
affordable,3,3.0
affront,2,2.0
afloat,4,4.0
afore,3,3.0
afraid,3,3.0
African,2 (slightly iconic),2.0
after,2,2.0
afterbirth,3,3.0
afterlife,3,3.0
aftermath,3,3.0
afternoon,3,3.0
aftershave,3,3.0
aftertaste,4,4.0
again,2,2.0
against,2,2.0
age,2,2.0
ageless,4,4.0
agency,2,2.0
agenda,2,2.0
agent,2,2.0
agglomerate,3,3.0
aggravate,4,4.0
aggravation,5,5.0
aggregate,2,2.0
aggression,4,4.0
aggressive,4,4.0
aggressor,4,4.0
aggrieve,3,3.0
aggrieved,3,3.0
agile,4,4.0
agility,4,4.0
agitate,5,5.0
agitation,5,5.0
agnostic,2,2.0
ago,2,2.0
agonistic,2,2.0
agonize,5,5.0
agonizing,5,5.0
agony,5,5.0
agree,2,2.0
agreeable,3,3.0
agreed,2,2.0
agreement,3,3.0
agriculture,2 (slightly iconic),2.0
ahead,3,3.0
ahem,6,6.0
aid,3,3.0
aide,3,3.0
ailing,4,4.0
ailment,3,3.0
aim,4,4.0
aimless,4,4.0
air,4,4.0
airborne,4,4.0
aircraft,3,3.0
airfield,4,4.0
airflow,4,4.0
airlift,4,4.0
airline,3,3.0
airplane,3,3.0
airport,3,3.0
airstrip,4,4.0
airway,4,4.0
aisle,2,2.0
alarm,5,5.0
alarming,4,4.0
alas,2,2.0
albeit,2,2.0
albino,3,3.0
album,2,2.0
alcohol,3,3.0
alcoholic,3,3.0
alcoholism,2 (slightly iconic),2.0
alcove,3,3.0
ale,3,3.0
alert,4,4.0
alfalfa,3,3.0
algae,3,3.0
algebra,2,2.0
alias,2,2.0
alien,4,4.0
alienable,2,2.0
alienate,3,3.0
alienation,3,3.0
align,3,3.0
alike,3,3.0
alive,4,4.0
alkaline,3,3.0
all,2,2.0
allegation,2,2.0
allege,2,2.0
alleged,2,2.0
allegedly,2,2.0
allegiance,2,2.0
allegorical,2,2.0
allegory,2,2.0
allergic,3,3.0
allergy,3,3.0
alleviate,3,3.0
alley,3,3.0
alliance,3,3.0
allied,3,3.0
allies,3,3.0
alligator,4,4.0
allocable,2,2.0
allocate,2,2.0
allow,2,2.0
allowable,2,2.0
allowance,2,2.0
allude,2,2.0
allure,4,4.0
alluring,4,4.0
allusion,2,2.0
allusive,2,2.0
ally,2,2.0
almighty,4,4.0
almond,2,2.0
almost,2,2.0
aloe,3,3.0
aloha,4,4.0
alone,3,3.0
along,2,2.0
aloof,3,3.0
aloud,3,3.0
alpaca,3,3.0
alpha,3,3.0
alphabet,3,3.0
alphabetical,2,2.0
already,2,2.0
also,1 (not at all iconic),1.0
altar,3,3.0
alter,3,3.0
alteration,2,2.0
altercation,3,3.0
alternate,3,3.0
alternative,2,2.0
although,1 (not at all iconic),1.0
altitude,3,3.0
altruism,2,2.0
altruistic,2 (slightly iconic),2.0
aluminum,2,2.0
always,2,2.0
am,1 (not at all iconic),1.0
amaretto,3 (moderately iconic),3.0
amass,4,4.0
amateur,1 (not at all iconic),1.0
amateurish,3,3.0
amateurism,2,2.0
amaze,4,4.0
amazed,4,4.0
amazement,4,4.0
amazing,4,4.0
ambassador,2,2.0
amber,4,4.0
ambience,4,4.0
ambient,3,3.0
ambiguity,2,2.0
ambiguous,2,2.0
ambition,2,2.0
ambitious,3,3.0
amble,4,4.0
ambulance,3,3.0
ambush,4,4.0
amen,2,2.0
amendatory,2,2.0
amendment,2,2.0
amends,2,2.0
America,2,2.0
American,2,2.0
Americanize,3,3.0
amiable,3,3.0
amicable,3,3.0
amidst,3,3.0
amiss,4,4.0
ammo,4,4.0
ammonia,3,3.0
ammunition,3,3.0
amnesia,4,4.0
amnesty,2,2.0
among,2,2.0
amongst,2,2.0
amoral,2,2.0
amorous,4,4.0
amount,2,2.0
amour,3,3.0
amp,3,3.0
amphibian,3,3.0
amplifier,4,4.0
amplify,4,4.0
amplitude,3,3.0
amputate,4,4.0
amputee,3,3.0
amuck,4,4.0
amuse,4,4.0
amused,3,3.0
amusement,4,4.0
amusing,4,4.0
an,1 (not at all iconic),1.0
anaconda,4,4.0
anagram,2,2.0
anal,2,2.0
analogical,2,2.0
analogous,2,2.0
analogy,2,2.0
analyse,2,2.0
analysis,2,2.0
analyst,2,2.0
analytic,2,2.0
analyze,2,2.0
anarchic,3,3.0
anarchist,2,2.0
anarchy,3,3.0
anatomy,3,3.0
ancestor,3,3.0
ancestral,3,3.0
ancestry,2,2.0
anchor,4,4.0
anchorman,3,3.0
anchovy,3,3.0
ancient,3,3.0
and,1 (not at all iconic),1.0
anecdote,2,2.0
anemia,2,2.0
anemic,3,3.0
aneurysm,2,2.0
anew,3,3.0
angel,4,4.0
angelic,4,4.0
anger,4,4.0
angle,3,3.0
angry,4,4.0
angst,4,4.0
anguish,5,5.0
anguished,4,4.0
angular,5,5.0
animal,3,3.0
animate,4,4.0
animated,4,4.0
animation,3,3.0
animosity,3,3.0
ankle,3,3.0
anklet,3,3.0
annals,2,2.0
annihilate,4,4.0
annihilation,4,4.0
anniversary,2,2.0
announce,3,3.0
announcer,3,3.0
annoy,4,4.0
annoyance,4,4.0
annoyed,4,4.0
annoying,4,4.0
annual,2,2.0
anoint,3,3.0
anomaly,3,3.0
anorexia,2,2.0
anorexic,2,2.0
another,1 (not at all iconic),1.0
answer,2,2.0
answerable,2,2.0
ant,3,3.0
antagonist,3,3.0
antagonistic,3,3.0
antagonize,3,3.0
antelope,3,3.0
antenna,4,4.0
anthem,3,3.0
anthill,4,4.0
anthrax,2 (slightly iconic),2.0
antibody,3,3.0
antic,3,3.0
anticipate,3,3.0
anticipation,3,3.0
anticipative,3,3.0
anticipatory,3,3.0
antidote,3,3.0
antifreeze,3,3.0
antipathy,2,2.0
antiquate,3,3.0
antique,3,3.0
antiseptic,3,3.0
antler,4,4.0
anus,4,4.0
anxiety,4,4.0
anxious,4,4.0
any,1 (not at all iconic),1.0
anybody,2,2.0
anyone,2,2.0
anything,2,2.0
anyway,2,2.0
aorta,3,3.0
apart,3,3.0
apartment,2,2.0
apathetic,3,3.0
apathy,3,3.0
ape,4,4.0
apex,4,4.0
aphid,3,3.0
aphrodisiac,3,3.0
apocalypse,4,4.0
apolitical,2,2.0
apologetic,4,4.0
apologetics,2 (slightly iconic),2.0
apologize,3,3.0
apology,2,2.0
apostrophe,2,2.0
appal,4,4.0
appall,4,4.0
appalling,4,4.0
apparatus,3,3.0
apparel,3,3.0
apparent,3,3.0
appeal,3,3.0
appear,3,3.0
appearance,3,3.0
appease,3,3.0
append,3,3.0
appendectomy,2,2.0
appendicitis,2,2.0
appetite,3,3.0
appetizer,3,3.0
appetizing,4,4.0
applaud,4,4.0
applause,4,4.0
apple,3,3.0
appliance,2,2.0
applicable,2,2.0
application,2,2.0
applied,2,2.0
apply,3,3.0
appoint,3,3.0
appointment,2,2.0
appraisal,2,2.0
appraise,2,2.0
appreciable,2,2.0
appreciate,2,2.0
appreciation,3,3.0
appreciative,3,3.0
appreciatory,2,2.0
apprehend,3,3.0
apprehensible,2 (slightly iconic),2.0
apprehension,3,3.0
apprehensive,3,3.0
apprentice,3,3.0
approach,3,3.0
approachable,3,3.0
appropriate,2,2.0
approval,3,3.0
approve,3,3.0
approximate,2,2.0
apricot,3,3.0
April,2,2.0
apron,2,2.0
apt,3,3.0
aptitude,2,2.0
aqua,5,5.0
aquamarine,4,4.0
aquarium,4,4.0
aquatic,4,4.0
aqueduct,3,3.0
arachnid,3,3.0
arbitrary,2,2.0
arbitrate,2,2.0
arbitration,2,2.0
arc,4,4.0
arcade,3,3.0
arch,4,4.0
archaic,3,3.0
arched,4,4.0
archer,4,4.0
archery,3,3.0
archetypal,2,2.0
architect,2,2.0
architectural,2,2.0
architecture,2,2.0
archive,2,2.0
archway,4,4.0
arctic,4,4.0
ardent,3,3.0
arduous,3,3.0
are,1 (not at all iconic),1.0
area,2,2.0
arena,3,3.0
areola,3,3.0
arf,5,5.0
arguable,2,2.0
argue,3,3.0
argument,3,3.0
argumentative,3,3.0
arise,4,4.0
aristocracy,2 (slightly iconic),2.0
aristocrat,2,2.0
aristocratic,2 (slightly iconic),2.0
ark,3,3.0
arm,3,3.0
armadillo,4,4.0
armchair,3,3.0
armed,4,4.0
armor,4,4.0
armpit,4,4.0
armrest,4,4.0
army,3,3.0
aroma,5,5.0
aromatic,4,4.0
arose,3,3.0
around,3,3.0
arouse,4,4.0
arrange,3,3.0
arrangement,3,3.0
array,3,3.0
arrest,4,4.0
arresting,4,4.0
arrival,3,3.0
arrive,3,3.0
arrogance,4,4.0
arrogant,4,4.0
arrow,4,4.0
arrowhead,4,4.0
arsenal,3,3.0
arsenic,3,3.0
arson,3,3.0
arsonist,3,3.0
art,2,2.0
artful,4,4.0
arthritis,3,3.0
artichoke,3,3.0
article,2,2.0
articulate,3,3.0
artifact,3,3.0
artifice,3,3.0
artificial,3,3.0
artillery,3,3.0
artisan,3,3.0
artist,3,3.0
artiste,3,3.0
artistic,3,3.0
artistry,3,3.0
artless,3,3.0
arty,3,3.0
as,1 (not at all iconic),1.0
ascend,4,4.0
ascertain,2,2.0
asexualize,2 (slightly iconic),2.0
ash,4,4.0
ashamed,3,3.0
ashtray,3,3.0
aside,3,3.0
ask,3,3.0
asleep,4,4.0
asparagus,3,3.0
aspect,2,2.0
aspen,3,3.0
asphalt,3,3.0
asphyxia,4,4.0
asphyxiate,5,5.0
aspiration,3,3.0
aspire,3,3.0
aspirin,2,2.0
ass,3,3.0
assailant,3,3.0
assassin,3,3.0
assassinate,4,4.0
assault,4,4.0
assemble,3,3.0
assent,2,2.0
assert,3,3.0
asserted,3,3.0
assertion,2,2.0
assertive,3,3.0
assess,2,2.0
assessment,2,2.0
asset,2,2.0
assign,3,3.0
assignment,2,2.0
assimilate,3,3.0
assimilative,2,2.0
assist,3,3.0
associable,2,2.0
associate,2,2.0
association,2,2.0
assumable,2,2.0
assume,2,2.0
assuming,2,2.0
assumptive,2,2.0
assurance,3,3.0
assure,3,3.0
assured,3,3.0
asteroid,4,4.0
asthma,3,3.0
asthmatic,3,3.0
astonish,4,4.0
astonishing,4,4.0
astonishment,4,4.0
astound,4,4.0
astounding,4,4.0
astringent,4,4.0
astronaut,3,3.0
astronomical,3,3.0
asylum,3,3.0
asymmetric,3,3.0
at,1 (not at all iconic),1.0
atchoo,7,7.0
ate,2,2.0
atheistic,2,2.0
athlete,3,3.0
athletic,4,4.0
athletics,3,3.0
atlas,2,2.0
atmosphere,3,3.0
atom,3,3.0
atomic,3,3.0
atone,3,3.0
atonement,2,2.0
atrium,3,3.0
atrocious,5,5.0
atrocity,4,4.0
attach,3,3.0
attack,5,5.0
attainable,3,3.0
attempt,2,2.0
attend,3,3.0
attendance,2,2.0
attendant,2,2.0
attention,3,3.0
attentive,3,3.0
attest,2,2.0
attic,3,3.0
attire,3,3.0
attitude,3,3.0
attorney,2,2.0
attract,4,4.0
attraction,3,3.0
attractive,4,4.0
attribute,2,2.0
attributive,2,2.0
attunement,3,3.0
auction,3,3.0
auctioneer,3,3.0
audacious,3,3.0
audacity,3,3.0
audible,4,4.0
audience,2,2.0
audio,3,3.0
audit,2,2.0
audition,3,3.0
auditor,2,2.0
auditorium,3,3.0
auditory,3,3.0
augmentation,2 (slightly iconic),2.0
august,2,2.0
aunt,2,2.0
auntie,4,4.0
aura,4,4.0
Aurora,4,4.0
auspicious,2 (slightly iconic),2.0
authentic,3,3.0
authenticity,2,2.0
author,2,2.0
authoritarian,2,2.0
authoritative,3,3.0
authority,3,3.0
authorize,2,2.0
autism,2,2.0
auto,3,3.0
autocratic,3,3.0
autograph,2,2.0
automobile,3,3.0
autopsy,3,3.0
autumn,3,3.0
avail,2,2.0
available,2,2.0
avalanche,5,5.0
avenge,3,3.0
avenue,2,2.0
average,3,3.0
averse,2,2.0
avert,3,3.0
aviator,3,3.0
avid,2,2.0
avocado,3,3.0
avoid,3,3.0
avoidance,3,3.0
avow,2,2.0
await,3,3.0
awake,4,4.0
awaken,4,4.0
awakening,4,4.0
award,2,2.0
aware,2,2.0
awareness,3,3.0
away,3,3.0
awe,4,4.0
awed,4,4.0
awesome,4,4.0
awful,4,4.0
awfully,3,3.0
awhile,3,3.0
awkward,5,5.0
awning,3,3.0
awoke,4,4.0
awry,3,3.0
ax,5,5.0
axes,3,3.0
axis,3,3.0
aye,2,2.0
azure,4,4.0
baa,7,7.0
babble,6,6.0
babbling,6,6.0
babe,5,5.0
baboon,4,4.0
baby,5,5.0
bachelor,2,2.0
bachelorism,2,2.0
back,4,4.0
backache,4,4.0
backbone,4,4.0
backdrop,4,4.0
backed,3,3.0
backer,3,3.0
backfire,4,4.0
background,3,3.0
backhand,4,4.0
backing,4,4.0
backlash,4,4.0
backpack,4,4.0
backside,4,4.0
backstroke,4,4.0
backtrack,4,4.0
backup,3,3.0
backward,4,4.0
backwash,4,4.0
backyard,4,4.0
bacon,3,3.0
bacteria,3,3.0
bad,3,3.0
badge,3,3.0
badger,4,4.0
badly,3,3.0
badminton,3,3.0
baffle,4,4.0
bag,3,3.0
bagel,3,3.0
baggage,3,3.0
Baggie,4,4.0
baggy,5,5.0
bagpipe,4,4.0
baguette,4,4.0
bail,3,3.0
bailiff,2,2.0
bait,4,4.0
bake,4,4.0
baker,3,3.0
bakery,3,3.0
balance,4,4.0
balcony,3,3.0
bald,4,4.0
bale,3,3.0
balk,3,3.0
ball,5,5.0
ballad,3,3.0
ballerina,4,4.0
ballet,3,3.0
balloon,4,4.0
ballot,2,2.0
ballpoint,3,3.0
ballroom,3,3.0
balm,4,4.0
balmy,3,3.0
bamboo,4,4.0
ban,3,3.0
banana,4,4.0
band,3,3.0
bandage,4,4.0
bandanna,3,3.0
banded,3,3.0
bandit,4,4.0
bandwagon,4,4.0
bang,6,6.0
banger,4,4.0
banish,4,4.0
banister,3,3.0
banjo,4,4.0
bank,2,2.0
banker,2,2.0
banking,3,3.0
bankrupt,3,3.0
bankruptcy,3,3.0
banner,4,4.0
Banning,2 (slightly iconic),2.0
banquet,3,3.0
banshee,4,4.0
banter,4,4.0
baptism,3,3.0
baptize,3,3.0
bar,3,3.0
barbarian,4,4.0
barbaric,5,5.0
barbarous,5,5.0
barbecue,4,4.0
barbed,4,4.0
barbell,4,4.0
barber,3,3.0
bard,3,3.0
bare,4,4.0
barefoot,4,4.0
barely,3,3.0
barf,6,6.0
bargain,3,3.0
barge,4,4.0
barista,3,3.0
bark,5,5.0
Barking,5,5.0
barley,3,3.0
barn,4,4.0
barnacle,4,4.0
barnyard,4,4.0
barometer,3,3.0
baron,2,2.0
barrack,3,3.0
barracuda,4,4.0
barrage,4,4.0
barrel,4,4.0
barren,4,4.0
barricade,4,4.0
barrier,4,4.0
barter,4,4.0
base,3,3.0
baseball,4,4.0
baseline,3,3.0
basement,3,3.0
bases,3,3.0
bash,5,5.0
bashful,4,4.0
basic,3,3.0
basically,2,2.0
basil,3,3.0
basin,3,3.0
basis,2,2.0
bask,4,4.0
basket,3,3.0
basketball,4,4.0
bass,4,4.0
bassinet,3,3.0
bassoon,3,3.0
bastard,2 (slightly iconic),2.0
bastardize,3,3.0
baste,3,3.0
bat,4,4.0
batch,3,3.0
bath,4,4.0
bathe,4,4.0
bathrobe,3,3.0
bathroom,3,3.0
bathtub,3,3.0
baton,4,4.0
bats,4,4.0
batter,4,4.0
battery,3,3.0
batting,4,4.0
battle,4,4.0
battlefield,3,3.0
battlement,3,3.0
battleship,4,4.0
bauble,4,4.0
bawl,5,5.0
bay,3,3.0
bayonet,2,2.0
bayou,4,4.0
bazaar,3,3.0
bazooka,5,5.0
be,2,2.0
beach,4,4.0
beacon,4,4.0
bead,3,3.0
beaded,4,4.0
beagle,3,3.0
beak,5,5.0
beaker,4,4.0
beam,4,4.0
bean,3,3.0
beanie,4,4.0
beanstalk,4,4.0
bear,3,3.0
bearable,4,4.0
beard,3,3.0
bearded,4,4.0
beardless,3,3.0
bearer,3,3.0
bearing,3,3.0
beast,4,4.0
beastly,5,5.0
beat,5,5.0
beaten,4,4.0
beater,4,4.0
beau,2,2.0
beautician,3,3.0
beautiful,4,4.0
beauty,3,3.0
beaver,4,4.0
became,2,2.0
because,2,2.0
become,2,2.0
becoming,3,3.0
bed,4,4.0
bedbug,4,4.0
bedding,4,4.0
bedpost,3,3.0
bedrock,4,4.0
bedroom,3,3.0
bedside,3,3.0
bedspread,3,3.0
bedtime,4,4.0
bee,5,5.0
beech,2,2.0
beef,3,3.0
beehive,4,4.0
been,1 (not at all iconic),1.0
beep,6,6.0
beeper,5,5.0
beer,3,3.0
beet,3,3.0
beetle,4,4.0
befall,3,3.0
befitting,3,3.0
before,2,2.0
befriend,3,3.0
beg,4,4.0
beggar,4,4.0
begin,3,3.0
beginner,3,3.0
beginning,3,3.0
begun,2,2.0
behalf,2,2.0
behave,3,3.0
behavior,2,2.0
behind,3,3.0
behold,4,4.0
beholden,2,2.0
behoof,2,2.0
beige,3,3.0
being,2,2.0
belated,3,3.0
belch,6,6.0
belief,2,2.0
believe,2,2.0
belittle,4,4.0
bell,5,5.0
belle,3,3.0
belligerent,3,3.0
bellow,5,5.0
belly,5,5.0
belong,3,3.0
belonging,3,3.0
beloved,4,4.0
below,4,4.0
belt,4,4.0
belted,4,4.0
bemused,3,3.0
bench,3,3.0
bend,5,5.0
beneath,4,4.0
beneficent,2,2.0
beneficial,3,3.0
beneficiary,2,2.0
benefit,2,2.0
benevolence,3,3.0
benevolent,3,3.0
benign,2,2.0
bent,5,5.0
bequest,2,2.0
bereavement,2,2.0
berry,4,4.0
berserk,5,5.0
berth,3,3.0
beside,3,3.0
bespoke,2,2.0
bespoken,2 (slightly iconic),2.0
best,2,2.0
bestow,3,3.0
bet,3,3.0
beta,2,2.0
betray,4,4.0
better,3,3.0
between,3,3.0
bevel,4,4.0
beverage,3,3.0
beware,4,4.0
bewilder,4,4.0
bewildered,4,4.0
bewildering,4,4.0
bewilderment,4,4.0
bewitch,4,4.0
bewitching,4,4.0
beyond,3,3.0
bias,2,2.0
biased,2,2.0
bib,3,3.0
Bible,2 (slightly iconic),2.0
Biblical,3,3.0
bicentennial,2,2.0
bicep,3,3.0
biceps,4,4.0
bicker,5,5.0
bicycle,3,3.0
bid,3,3.0
bidding,3,3.0
bide,3,3.0
bifocal,3,3.0
big,4,4.0
bigamy,2,2.0
bigot,2,2.0
bigoted,2,2.0
bigotry,2,2.0
bike,4,4.0
biker,4,4.0
bikini,3,3.0
bilateral,2,2.0
bile,4,4.0
bilingual,2,2.0
bill,2,2.0
billboard,3,3.0
billed,3,3.0
billfold,4,4.0
billiard,3,3.0
billiards,3,3.0
billing,3,3.0
billion,2,2.0
billow,5,5.0
bimbo,4,4.0
bin,3,3.0
bind,4,4.0
binder,3,3.0
binding,4,4.0
binge,4,4.0
bingo,4,4.0
binocular,3,3.0
biological,3,3.0
biology,2,2.0
biopsy,2,2.0
biosphere,3,3.0
birch,3,3.0
bird,4,4.0
birdie,5,5.0
birth,4,4.0
birthday,3,3.0
birthmark,4,4.0
birthplace,4,4.0
biscuit,3,3.0
bishop,2,2.0
bison,3,3.0
bisque,2,2.0
bistro,2,2.0
bit,4,4.0
bitch,3,3.0
bitchy,4,4.0
bite,5,5.0
biter,4,4.0
biting,5,5.0
bitten,4,4.0
bitter,4,4.0
bittersweet,4,4.0
bizarre,4,4.0
blab,6,6.0
black,4,4.0
blackberry,4,4.0
blackbird,4,4.0
blackboard,4,4.0
blacken,5,5.0
blackhead,4,4.0
blackjack,4,4.0
blacklist,3,3.0
blackmail,3,3.0
blackness,4,4.0
blackout,5,5.0
blacksmith,4,4.0
bladder,3,3.0
blade,4,4.0
blah,4,4.0
blamable,3,3.0
blame,3,3.0
blamed,2,2.0
blameful,4,4.0
blameless,3,3.0
blanch,3,3.0
bland,5,5.0
blank,4,4.0
blanket,3,3.0
blankly,4,4.0
blare,6,6.0
blasphemous,3,3.0
blasphemy,2,2.0
blast,5,5.0
blat,4,4.0
blatant,3,3.0
blather,5,5.0
blaze,5,5.0
blazer,3,3.0
blazing,5,5.0
bleach,4,4.0
bleak,5,5.0
bleb,3,3.0
bleed,5,5.0
bleeder,4,4.0
bleep,5,5.0
bleeping,5,5.0
blemish,4,4.0
blend,4,4.0
blender,4,4.0
bless,3,3.0
blessed,3,3.0
blessing,3,3.0
blew,4,4.0
blimp,4,4.0
blind,4,4.0
blindfold,4,4.0
blinding,5,5.0
blink,5,5.0
blinking,4,4.0
blip,5,5.0
bliss,4,4.0
blissful,4,4.0
blister,5,5.0
blitz,5,5.0
blizzard,5,5.0
bloat,5,5.0
bloated,5,5.0
blob,6,6.0
bloc,2,2.0
block,4,4.0
blockade,4,4.0
blockage,5,5.0
blocking,4,4.0
bloke,3,3.0
blond,3,3.0
blonde,3,3.0
blood,4,4.0
bloodbath,5,5.0
bloodhound,4,4.0
bloodless,4,4.0
bloodshed,4,4.0
bloodshot,5,5.0
bloodstain,4,4.0
bloodstream,4,4.0
bloody,4,4.0
bloom,5,5.0
bloomer,3,3.0
blooming,5,5.0
blossom,5,5.0
blot,5,5.0
blotch,5,5.0
blotchy,5,5.0
blotter,3,3.0
blouse,2,2.0
blow,5,5.0
blower,4,4.0
blowfish,5,5.0
blowing,4,4.0
blown,4,4.0
blowout,5,5.0
blowtorch,5,5.0
blubber,6,6.0
bludgeon,5,5.0
blue,3,3.0
blueberry,4,4.0
bluebird,4,4.0
blueprint,3,3.0
blues,4,4.0
bluff,4,4.0
blunder,5,5.0
blunt,5,5.0
blur,5,5.0
blurb,4,4.0
blurt,6,6.0
blush,5,5.0
bluster,5,5.0
boa,4,4.0
boar,3,3.0
board,3,3.0
boarder,3,3.0
boarding,3,3.0
boardwalk,4,4.0
boast,4,4.0
boat,4,4.0
boating,4,4.0
bob,4,4.0
bobbing,5,5.0
bobcat,4,4.0
bodice,3,3.0
bodily,4,4.0
body,4,4.0
bodyguard,4,4.0
bog,5,5.0
bogey,3,3.0
boggle,4,4.0
bogus,5,5.0
boil,5,5.0
boiled,4,4.0
boiler,3,3.0
boiling,5,5.0
bold,4,4.0
bollocks,3 (moderately iconic),3.0
bologna,2,2.0
bolt,4,4.0
bomb,5,5.0
bombard,4,4.0
bombed,4,4.0
bomber,4,4.0
bombshell,4,4.0
bonbon,5,5.0
bond,3,3.0
bondage,3,3.0
bonded,4,4.0
bonding,4,4.0
bone,4,4.0
bonfire,4,4.0
bong,4,4.0
bongo,5,5.0
bonk,6,6.0
bonkers,5,5.0
bonnet,3,3.0
bonobo,4,4.0
bonsai,3,3.0
bonus,2,2.0
bony,5,5.0
boo,6,6.0
boob,4,4.0
