sentence1,sentence2,gpt-3.5-turbo_response,gpt3.5-turbo_rating
It was a grueling drill.,It was an electric drill.,1.0,1.0
It was a grueling drill.,It was a battery-powered drill.,1.0,1.0
It was a challenging drill.,It was an electric drill.,1.0,1.0
It was a challenging drill.,It was a battery-powered drill.,1.0,1.0
It was a grueling drill.,It was a challenging drill.,4.0,4.0
It was an electric drill.,It was a battery-powered drill.,4.0,4.0
It was a multiple-choice examination.,It was a prostate examination.,3.0,3.0
It was a multiple-choice examination.,It was a physical examination.,2.0,2.0
It was a difficult examination.,It was a prostate examination.,3.0,3.0
It was a difficult examination.,It was a physical examination.,2.0,2.0
It was a multiple-choice examination.,It was a difficult examination.,4.0,4.0
It was a prostate examination.,It was a physical examination.,4.0,4.0
They had an electric fan.,They had a zealous fan.,1.0,1.0
They had an electric fan.,They had an enthusiastic fan.,2.0,2.0
They had a ceiling fan.,They had a zealous fan.,1.0,1.0
They had a ceiling fan.,They had an enthusiastic fan.,1.0,1.0
They had an electric fan.,They had a ceiling fan.,4.0,4.0
They had a zealous fan.,They had an enthusiastic fan.,4.0,4.0
She had a text file.,She had a nail file.,1.0,1.0
She had a text file.,She had a steel file.,1.0,1.0
She had a data file.,She had a nail file.,1.0,1.0
She had a data file.,She had a steel file.,1.0,1.0
She had a text file.,She had a data file.,4.0,4.0
She had a nail file.,She had a steel file.,4.0,4.0
It was an action film.,It was a transparent film.,1.0,1.0
It was an action film.,It was a plastic film.,1.0,1.0
It was a censored film.,It was a transparent film.,1.0,1.0
It was a censored film.,It was a plastic film.,1.0,1.0
It was an action film.,It was a censored film.,4.0,4.0
It was a transparent film.,It was a plastic film.,4.0,4.0
They fixed the radio.,They fixed the date.,3.0,3.0
They fixed the radio.,They fixed the price.,2.0,2.0
They fixed the dishwasher.,They fixed the date.,2.0,2.0
They fixed the dishwasher.,They fixed the price.,2.0,2.0
They fixed the radio.,They fixed the dishwasher.,4.0,4.0
They fixed the date.,They fixed the price.,3.0,3.0
It was a charitable foundation.,It was a wooden foundation.,2.0,2.0
It was a charitable foundation.,It was a concrete foundation.,1.0,1.0
It was an educational foundation.,It was a wooden foundation.,3.0,3.0
It was an educational foundation.,It was a concrete foundation.,1.0,1.0
It was a charitable foundation.,It was an educational foundation.,4.0,4.0
It was a wooden foundation.,It was a concrete foundation.,4.0,4.0
It was a mathematical function.,It was a social function.,1.0,1.0
It was a mathematical function.,It was a business function.,1.0,1.0
It was a linear function.,It was a social function.,1.0,1.0
It was a linear function.,It was a business function.,1.0,1.0
It was a mathematical function.,It was a linear function.,4.0,4.0
It was a social function.,It was a business function.,4.0,4.0
He was on the firm ground.,He was on the camp ground.,3.0,3.0
He was on the firm ground.,He was on the parade ground.,3.0,3.0
He was on the frozen ground.,He was on the camp ground.,3.0,3.0
He was on the frozen ground.,He was on the parade ground.,3.0,3.0
He was on the firm ground.,He was on the frozen ground.,4.0,4.0
He was on the camp ground.,He was on the parade ground.,4.0,4.0
They liked the night guard.,They liked the coast guard.,3.0,3.0
They liked the night guard.,They liked the national guard.,3.0,3.0
They liked the security guard.,They liked the coast guard.,3.0,3.0
They liked the security guard.,They liked the national guard.,3.0,3.0
They liked the night guard.,They liked the security guard.,4.0,4.0
They liked the coast guard.,They liked the national guard.,4.0,4.0
He had an assembly guide.,He had a talkative guide.,3.0,3.0
He had an assembly guide.,He had a friendly guide.,3.0,3.0
He had a TV guide.,He had a talkative guide.,2.0,2.0
He had a TV guide.,He had a friendly guide.,2.0,2.0
He had an assembly guide.,He had a TV guide.,2.0,2.0
He had a talkative guide.,He had a friendly guide.,4.0,4.0
They hailed a cab.,They hailed a friend.,4.0,4.0
They hailed a cab.,They hailed a guest.,3.0,3.0
They hailed a taxi.,They hailed a friend.,4.0,4.0
They hailed a taxi.,They hailed a guest.,4.0,4.0
They hailed a cab.,They hailed a taxi.,4.0,4.0
They hailed a friend.,They hailed a guest.,4.0,4.0
It was a summer home.,It was a funeral home.,2.0,2.0
It was a summer home.,It was a nursing home.,2.0,2.0
It was a childhood home.,It was a funeral home.,2.0,2.0
It was a childhood home.,It was a nursing home.,2.0,2.0
It was a summer home.,It was a childhood home.,4.0,4.0
It was a funeral home.,It was a nursing home.,3.0,3.0
They had natural intelligence.,They had classified intelligence.,2.0,2.0
They had natural intelligence.,They had military intelligence.,2.0,2.0
They had innate intelligence.,They had classified intelligence.,2.0,2.0
They had innate intelligence.,They had military intelligence.,2.0,2.0
They had natural intelligence.,They had innate intelligence.,4.0,4.0
They had classified intelligence.,They had military intelligence.,4.0,4.0
It was a sensitive issue.,It was a weekly issue.,2.0,2.0
It was a sensitive issue.,It was a special issue.,3.0,3.0
It was a political issue.,It was a weekly issue.,2.0,2.0
It was a political issue.,It was a special issue.,3.0,3.0
It was a sensitive issue.,It was a political issue.,4.0,4.0
It was a weekly issue.,It was a special issue.,4.0,4.0
It was a blackberry jam.,It was a traffic jam.,1.0,1.0
It was a blackberry jam.,It was a paper jam.,1.0,1.0
It was a peach jam.,It was a traffic jam.,1.0,1.0
It was a peach jam.,It was a paper jam.,1.0,1.0
It was a blackberry jam.,It was a peach jam.,4.0,4.0
It was a traffic jam.,It was a paper jam.,2.0,2.0
It was a duplicate key.,It was a delete key.,2.0,2.0
It was a duplicate key.,It was a backspace key.,2.0,2.0
It was a master key.,It was a delete key.,2.0,2.0
It was a master key.,It was a backspace key.,2.0,2.0
It was a duplicate key.,It was a master key.,4.0,4.0
It was a delete key.,It was a backspace key.,3.0,3.0
They liked the marinated lamb.,They liked the cute lamb.,3.0,3.0
They liked the marinated lamb.,They liked the friendly lamb.,2.0,2.0
They liked the grilled lamb.,They liked the cute lamb.,2.0,2.0
They liked the grilled lamb.,They liked the friendly lamb.,2.0,2.0
They liked the marinated lamb.,They liked the grilled lamb.,4.0,4.0
They liked the cute lamb.,They liked the friendly lamb.,4.0,4.0
She lapped the milk.,She lapped the runners.,2.0,2.0
She lapped the milk.,She lapped the competitors.,2.0,2.0
She lapped the water.,She lapped the runners.,3.0,3.0
She lapped the water.,She lapped the competitors.,2.0,2.0
She lapped the milk.,She lapped the water.,4.0,4.0
She lapped the runners.,She lapped the competitors.,4.0,4.0
She loaded the gun.,She loaded the truck.,4.0,4.0
She loaded the gun.,She loaded the van.,3.0,3.0
She loaded the rifle.,She loaded the truck.,4.0,4.0
She loaded the rifle.,She loaded the van.,4.0,4.0
She loaded the gun.,She loaded the rifle.,4.0,4.0
She loaded the truck.,She loaded the van.,4.0,4.0
She had curly locks.,She had window locks.,1.0,1.0
She had curly locks.,She had door locks.,1.0,1.0
She had brown locks.,She had window locks.,1.0,1.0
She had brown locks.,She had door locks.,1.0,1.0
She had curly locks.,She had brown locks.,4.0,4.0
She had window locks.,She had door locks.,4.0,4.0
They liked the hot lunch.,They liked the afternoon lunch.,4.0,4.0
They liked the hot lunch.,They liked the women's lunch.,4.0,4.0
They liked the sandwich lunch.,They liked the afternoon lunch.,4.0,4.0
They liked the sandwich lunch.,They liked the women's lunch.,4.0,4.0
They liked the hot lunch.,They liked the sandwich lunch.,4.0,4.0
They liked the afternoon lunch.,They liked the women's lunch.,4.0,4.0
He liked the flea market.,He liked the housing market.,3.0,3.0
He liked the flea market.,He liked the stock market.,2.0,2.0
He liked the fish market.,He liked the housing market.,2.0,2.0
He liked the fish market.,He liked the stock market.,1.0,1.0
He liked the flea market.,He liked the fish market.,4.0,4.0
He liked the housing market.,He liked the stock market.,3.0,3.0
It was a lit match.,It was a soccer match.,0.0,0.0
It was a lit match.,It was a tennis match.,0.0,0.0
It was a burning match.,It was a soccer match.,0.0,0.0
It was a burning match.,It was a tennis match.,0.0,0.0
It was a lit match.,It was a burning match.,4.0,4.0
It was a soccer match.,It was a tennis match.,4.0,4.0
It was cough medicine.,It was orthopedic medicine.,3.0,3.0
It was cough medicine.,It was veterinary medicine.,3.0,3.0
It was prescription medicine.,It was orthopedic medicine.,3.0,3.0
It was prescription medicine.,It was veterinary medicine.,3.0,3.0
It was cough medicine.,It was prescription medicine.,4.0,4.0
It was orthopedic medicine.,It was veterinary medicine.,4.0,4.0
There was a phone message.,There was an urgent message.,4.0,4.0
There was a phone message.,There was a clear message.,4.0,4.0
There was a computer message.,There was an urgent message.,4.0,4.0
There was a computer message.,There was a clear message.,3.0,3.0
There was a phone message.,There was a computer message.,4.0,4.0
There was an urgent message.,There was a clear message.,4.0,4.0
It was a fungal mold.,It was a rubber mold.,2.0,2.0
It was a fungal mold.,It was a clay mold.,1.0,1.0
It was a harmful mold.,It was a rubber mold.,1.0,1.0
It was a harmful mold.,It was a clay mold.,1.0,1.0
It was a fungal mold.,It was a harmful mold.,4.0,4.0
It was a rubber mold.,It was a clay mold.,4.0,4.0
She saw the cancerous mole.,She saw the cute mole.,1.0,1.0
She saw the cancerous mole.,She saw the fast mole.,1.0,1.0
She saw the raised mole.,She saw the cute mole.,4.0,4.0
She saw the raised mole.,She saw the fast mole.,3.0,3.0
She saw the cancerous mole.,She saw the raised mole.,4.0,4.0
She saw the cute mole.,She saw the fast mole.,4.0,4.0
He liked the rhythmic movement.,He liked the feminist movement.,1.0,1.0
He liked the rhythmic movement.,He liked the civil-rights movement.,1.0,1.0
He liked the graceful movement.,He liked the feminist movement.,1.0,1.0
He liked the graceful movement.,He liked the civil-rights movement.,1.0,1.0
He liked the rhythmic movement.,He liked the graceful movement.,4.0,4.0
He liked the feminist movement.,He liked the civil-rights movement.,4.0,4.0
It was a national newspaper.,It was a faded newspaper.,4.0,4.0
It was a national newspaper.,It was a shredded newspaper.,4.0,4.0
It was a daily newspaper.,It was a faded newspaper.,4.0,4.0
It was a daily newspaper.,It was a shredded newspaper.,4.0,4.0
It was a national newspaper.,It was a daily newspaper.,4.0,4.0
It was a faded newspaper.,It was a shredded newspaper.,4.0,4.0
It was a juicy orange.,It was a bright orange.,3.0,3.0
It was a juicy orange.,It was a reddish orange.,4.0,4.0
It was a ripe orange.,It was a bright orange.,3.0,3.0
It was a ripe orange.,It was a reddish orange.,4.0,4.0
It was a juicy orange.,It was a ripe orange.,4.0,4.0
It was a bright orange.,It was a reddish orange.,4.0,4.0
He saw the young page.,He saw the blank page.,1.0,1.0
He saw the young page.,He saw the ripped page.,2.0,2.0
He saw the loyal page.,He saw the blank page.,1.0,1.0
He saw the loyal page.,He saw the ripped page.,1.0,1.0
He saw the young page.,He saw the loyal page.,4.0,4.0
He saw the blank page.,He saw the ripped page.,4.0,4.0
It was a calloused palm.,It was a tropical palm.,0.0,0.0
It was a calloused palm.,It was a tree palm.,1.0,1.0
It was a wrinkled palm.,It was a tropical palm.,1.0,1.0
It was a wrinkled palm.,It was a tree palm.,1.0,1.0
It was a calloused palm.,It was a wrinkled palm.,4.0,4.0
It was a tropical palm.,It was a tree palm.,4.0,4.0
It was a control panel.,It was an advisory panel.,3.0,3.0
It was a control panel.,It was a consumer panel.,3.0,3.0
It was an instrument panel.,It was an advisory panel.,2.0,2.0
It was an instrument panel.,It was a consumer panel.,2.0,2.0
It was a control panel.,It was an instrument panel.,4.0,4.0
It was an advisory panel.,It was a consumer panel.,4.0,4.0
It was a secret passage.,It was a literary passage.,2.0,2.0
It was a secret passage.,It was a biblical passage.,1.0,1.0
It was a narrow passage.,It was a literary passage.,2.0,2.0
It was a narrow passage.,It was a biblical passage.,1.0,1.0
It was a secret passage.,It was a narrow passage.,4.0,4.0
It was a literary passage.,It was a biblical passage.,4.0,4.0
She penned her animals.,She penned her memoirs.,2.0,2.0
She penned her animals.,She penned her thoughts.,2.0,2.0
She penned her livestock.,She penned her memoirs.,2.0,2.0
She penned her livestock.,She penned her thoughts.,2.0,2.0
She penned her animals.,She penned her livestock.,4.0,4.0
She penned her memoirs.,She penned her thoughts.,4.0,4.0
It was a tasty perch.,It was a lofty perch.,2.0,2.0
It was a tasty perch.,It was a secure perch.,3.0,3.0
It was a freshwater perch.,It was a lofty perch.,2.0,2.0
It was a freshwater perch.,It was a secure perch.,3.0,3.0
It was a tasty perch.,It was a freshwater perch.,4.0,4.0
It was a lofty perch.,It was a secure perch.,4.0,4.0
He picked his coffee.,He picked his scab.,3.0,3.0
He picked his coffee.,He picked his nose.,3.0,3.0
He picked his dinner.,He picked his scab.,3.0,3.0
He picked his dinner.,He picked his nose.,4.0,4.0
He picked his coffee.,He picked his dinner.,4.0,4.0
He picked his scab.,He picked his nose.,4.0,4.0
He saw the fast pitcher.,He saw the glass pitcher.,1.0,1.0
He saw the fast pitcher.,He saw the plastic pitcher.,1.0,1.0
He saw the right-handed pitcher.,He saw the glass pitcher.,1.0,1.0
He saw the right-handed pitcher.,He saw the plastic pitcher.,2.0,2.0
He saw the fast pitcher.,He saw the right-handed pitcher.,4.0,4.0
He saw the glass pitcher.,He saw the plastic pitcher.,4.0,4.0
She poached the deer.,She poached the eggs.,2.0,2.0
She poached the deer.,She poached the vegetables.,3.0,3.0
She poached the bear.,She poached the eggs.,2.0,2.0
She poached the bear.,She poached the vegetables.,2.0,2.0
She poached the deer.,She poached the bear.,4.0,4.0
She poached the eggs.,She poached the vegetables.,4.0,4.0
It was a windy port.,It was a delicious port.,1.0,1.0
It was a windy port.,It was a sweet port.,2.0,2.0
It was a seaside port.,It was a delicious port.,1.0,1.0
It was a seaside port.,It was a sweet port.,3.0,3.0
It was a windy port.,It was a seaside port.,4.0,4.0
It was a delicious port.,It was a sweet port.,4.0,4.0
He was in a distinguished position.,He was in a fetal position.,2.0,2.0
He was in a distinguished position.,He was in a yoga position.,3.0,3.0
He was in a prominent position.,He was in a fetal position.,3.0,3.0
He was in a prominent position.,He was in a yoga position.,3.0,3.0
He was in a distinguished position.,He was in a prominent position.,4.0,4.0
He was in a fetal position.,He was in a yoga position.,4.0,4.0
It was a wooden post.,It was a teaching post.,1.0,1.0
It was a wooden post.,It was a challenging post.,2.0,2.0
It was a fence post.,It was a teaching post.,1.0,1.0
It was a fence post.,It was a challenging post.,1.0,1.0
It was a wooden post.,It was a fence post.,4.0,4.0
It was a teaching post.,It was a challenging post.,4.0,4.0
