word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2,gpt-4_response,gpt4_rating,sm_human,sm_gpt
bank,He banked the plane.,He banked the money.,False,Homonymy,plane,money,M1_a_M2_a,V,1.0,1.0,0.0,17,1.060660172,0.323924422,0.132879496,0.257247878,M1_a,M2_a,2,2,0.11610019903660584,0.14601350754655995
bank,He banked the plane.,He banked the cash.,False,Homonymy,plane,cash,M1_a_M2_b,V,0.733333333,1.0,0.266666667,15,0.703731551,0.273554802,0.136303425,0.181702705,M1_a,M2_b,2,2,0.17705891802666063,0.11604000012145266
bank,He banked the helicopter.,He banked the money.,False,Homonymy,helicopter,money,M1_b_M2_a,V,0.6,1.0,0.4,10,0.516397779,0.350970745,0.146282852,0.163299316,M1_b,M2_a,2,2,0.09745856064856939,0.18237018246732306
bank,He banked the helicopter.,He banked the cash.,False,Homonymy,helicopter,cash,M1_b_M2_b,V,1.375,1.5,0.125,8,1.302470181,0.298910558,0.146447778,0.460492749,M1_b,M2_b,2,2,0.15223204989223338,0.1536727339439895
bank,He banked the plane.,He banked the helicopter.,True,Homonymy,plane,helicopter,M1_a_M1_b,V,3.333333333,3.5,0.166666667,12,0.778498944,0.052691579,0.030866385,0.224733287,M1_a,M1_b,4,4,0.02990181871252251,0.0425728922436619
bank,He banked the money.,He banked the cash.,True,Homonymy,money,cash,M2_a_M2_b,V,3.533333333,4.0,0.466666667,15,0.833809388,0.071297884,0.015070319,0.215288658,M2_a,M2_b,4,4,0.06792782708202738,0.033908216920704004
barrier,There was a police barrier.,There was a language barrier.,False,Polysemy,police,language,M1_a_M2_a,N,1.333333333,1.0,0.333333333,12,1.154700538,0.270082295,0.092094541,0.333333333,M1_a,M2_a,2,2,0.14247998306201837,0.1317568578755408
barrier,There was a police barrier.,There was a religious barrier.,False,Polysemy,police,religious,M1_a_M2_b,N,1.266666667,2.0,0.733333333,15,1.032795559,0.224227011,0.076318026,0.266666667,M1_a,M2_b,3,3,0.0663984504712073,0.12354017879778523
barrier,There was a concrete barrier.,There was a language barrier.,False,Polysemy,concrete,language,M1_b_M2_a,N,1.692307692,2.0,0.307692308,13,1.250640861,0.247155786,0.07921809,0.346865366,M1_b,M2_a,2,2,0.2362078602193537,0.1309518107465183
barrier,There was a concrete barrier.,There was a religious barrier.,False,Polysemy,concrete,religious,M1_b_M2_b,N,1.727272727,2.0,0.272727273,11,1.348399725,0.197422087,0.060512066,0.406557814,M1_b,M2_b,2,2,0.11726091860792753,0.10773140216148747
barrier,There was a police barrier.,There was a concrete barrier.,True,Polysemy,police,concrete,M1_a_M1_b,N,2.923076923,3.0,0.076923077,13,1.320450584,0.11560303,0.063831151,0.366227099,M1_a,M1_b,3,3,0.04617821925377186,0.026876319798096127
barrier,There was a language barrier.,There was a religious barrier.,True,Polysemy,language,religious,M2_a_M2_b,N,3.538461538,4.0,0.461538462,13,0.776250026,0.136045516,0.056087494,0.215293021,M2_a,M2_b,3,3,0.0420560869133666,0.08013378899220014
bat,He saw a furry bat.,He saw a wooden bat.,False,Homonymy,furry,wooden,M1_a_M2_a,N,0.0,0.0,0.0,10,0.0,0.141213,0.037469864,0.0,M1_a,M2_a,2,2,0.07659273508489028,0.030464028516734354
bat,He saw a furry bat.,He saw a baseball bat.,False,Homonymy,furry,baseball,M1_a_M2_b,N,0.5,0.0,0.5,14,0.854850414,0.220161021,0.048564672,0.228468383,M1_a,M2_b,1,1,0.11123670468735292,0.05330578509030359
bat,He saw a fruit bat.,He saw a wooden bat.,False,Homonymy,fruit,wooden,M1_b_M2_a,N,0.2,0.0,0.2,10,0.632455532,0.199045181,0.049907684,0.2,M1_b,M2_a,1,1,0.08896507437827017,0.24474066264185335
bat,He saw a fruit bat.,He saw a baseball bat.,False,Homonymy,fruit,baseball,M1_b_M2_b,N,0.083333333,0.0,0.083333333,12,0.288675135,0.269888878,0.064392745,0.083333333,M1_b,M2_b,1,1,0.12411441956761338,0.2543988649206743
bat,He saw a furry bat.,He saw a fruit bat.,True,Homonymy,furry,fruit,M1_a_M1_b,N,3.55,4.0,0.45,20,0.998683344,0.117426872,0.030932486,0.223312384,M1_a,M1_b,3,3,0.00863735180281755,0.2420632710401328
bat,He saw a wooden bat.,He saw a baseball bat.,True,Homonymy,wooden,baseball,M2_a_M2_b,N,3.545454545,4.0,0.454545455,11,1.213559752,0.098202467,0.045940161,0.365902033,M2_a,M2_b,3,3,0.021811916145418997,0.00721903972340443
beam,He saw the laser beam.,He saw the wood beam.,False,Polysemy,laser,wood,M1_a_M2_a,N,1.142857143,1.0,0.142857143,14,0.949262293,0.312720001,0.051152468,0.253701019,M1_a,M2_a,2,2,0.09808487443203728,0.10185376097950138
beam,He saw the laser beam.,He saw the balance beam.,False,Polysemy,laser,balance,M1_a_M2_b,N,0.833333333,1.0,0.166666667,12,0.937436867,0.334815323,0.102861106,0.270614714,M1_a,M2_b,2,2,0.13370128355883426,0.35204840470813736
beam,He saw the bright beam.,He saw the wood beam.,False,Polysemy,bright,wood,M1_b_M2_a,N,0.555555556,0.0,0.555555556,9,1.333333333,0.237403274,0.073608041,0.444444444,M1_b,M2_a,2,2,0.11816188317200749,0.10185376097950138
beam,He saw the bright beam.,He saw the balance beam.,False,Polysemy,bright,balance,M1_b_M2_b,N,0.363636364,0.0,0.363636364,11,0.674199862,0.323186874,0.126451135,0.203278907,M1_b,M2_b,2,2,0.1625212450656217,0.26753297923528563
beam,He saw the laser beam.,He saw the bright beam.,True,Polysemy,laser,bright,M1_a_M1_b,N,3.545454545,4.0,0.454545455,11,0.687551651,0.14106673,0.063059807,0.207304623,M1_a,M1_b,3,3,0.025429159830619108,0.04999999999999993
beam,He saw the wood beam.,He saw the balance beam.,True,Polysemy,wood,balance,M2_a_M2_b,N,2.6,3.0,0.4,20,1.187655807,0.259652674,0.094416857,0.265567912,M2_a,M2_b,2,2,0.09067430815673438,0.2409278847234103
block,She had a toy block.,She had a mental block.,False,Polysemy,toy,mental,M1_a_M2_a,N,0.538461538,0.0,0.538461538,13,0.967417922,0.344962478,0.126269341,0.268313456,M1_a,M2_a,2,2,0.38057857011842644,0.4778491506911414
block,She had a toy block.,She had a writer's block.,False,Polysemy,toy,writer,M1_a_M2_b,N,0.133333333,0.0,0.133333333,15,0.516397779,0.74992314,0.089277864,0.133333333,M1_a,M2_b,2,2,0.15918318379671692,0.20694841428185584
block,She had a wooden block.,She had a mental block.,False,Polysemy,wooden,mental,M1_b_M2_a,N,1.0,1.0,0.0,13,1.224744871,0.424544752,0.171375155,0.33968311,M1_b,M2_a,2,2,0.41744075295461014,0.48612988022263826
block,She had a wooden block.,She had a writer's block.,False,Polysemy,wooden,writer,M1_b_M2_b,N,0.2,0.0,0.2,10,0.421637021,0.747714102,0.135741949,0.133333333,M1_b,M2_b,2,2,0.2054884044539057,0.3365965279962225
block,She had a toy block.,She had a wooden block.,True,Polysemy,toy,wooden,M1_a_M1_b,N,3.8,4.0,0.2,15,0.414039336,0.149741769,0.077775836,0.106904497,M1_a,M1_b,4,4,0.04565420408572485,0.10156057731953061
block,She had a mental block.,She had a writer's block.,True,Polysemy,mental,writer,M2_a_M2_b,N,3.181818182,3.0,0.181818182,11,0.981649817,0.681398749,0.116603911,0.295978556,M2_a,M2_b,3,3,0.06814005134310763,0.16085360832172624
blood,He has coagulated blood.,He has noble blood.,False,Polysemy,coagulated,noble,M1_a_M2_a,N,1.6,2.0,0.4,15,0.985610761,0.421955585,0.150418937,0.254483604,M1_a,M2_a,2,2,0.10589272232402569,0.0897008726364874
blood,He has coagulated blood.,He has royal blood.,False,Polysemy,coagulated,royal,M1_a_M2_b,N,2.5,2.5,0.0,8,0.9258201,0.407098174,0.148918033,0.327326835,M1_a,M2_b,2,2,0.0681169375773426,0.07469610885401556
blood,He has thin blood.,He has noble blood.,False,Polysemy,thin,noble,M1_b_M2_a,N,2.222222222,2.0,0.222222222,9,1.6414763,0.315900445,0.075837672,0.547158767,M1_b,M2_a,2,2,0.020310166344917002,0.047338976755066264
blood,He has thin blood.,He has royal blood.,False,Polysemy,thin,royal,M1_b_M2_b,N,2.214285714,2.0,0.214285714,14,1.121713759,0.343109667,0.086559355,0.299790612,M1_b,M2_b,2,2,0.022462845849942514,0.03163594772991618
blood,He has coagulated blood.,He has thin blood.,True,Polysemy,coagulated,thin,M1_a_M1_b,N,3.631578947,4.0,0.368421053,19,0.955133866,0.238283217,0.115974247,0.219122737,M1_a,M1_b,3,3,0.05835309636990893,0.06721770185375531
blood,He has noble blood.,He has royal blood.,True,Polysemy,noble,royal,M2_a_M2_b,N,3.583333333,4.0,0.416666667,12,0.792961461,0.078508019,0.045944512,0.228908257,M2_a,M2_b,4,4,0.02143201668097716,0.02462444870534708
board,It was the ironing board.,It was the executive board.,False,Polysemy,ironing,executive,M1_a_M2_a,N,0.066666667,0.0,0.066666667,15,0.25819889,0.376005471,0.122809231,0.066666667,M1_a,M2_a,2,2,0.08980428706046839,0.15672595728843208
board,It was the ironing board.,It was the school board.,False,Polysemy,ironing,school,M1_a_M2_b,N,0.416666667,0.0,0.416666667,12,0.99620492,0.306866348,0.126246154,0.287579589,M1_a,M2_b,2,2,0.1515137769300745,0.13917153797888338
board,It was the wooden board.,It was the executive board.,False,Polysemy,wooden,executive,M1_b_M2_a,N,0.25,0.0,0.25,12,0.452267017,0.420134366,0.10416615,0.130558242,M1_b,M2_a,2,2,0.08615623424108854,0.15784807893348096
board,It was the wooden board.,It was the school board.,False,Polysemy,wooden,school,M1_b_M2_b,N,0.6,0.0,0.6,15,0.736788398,0.322381914,0.12045747,0.190237946,M1_b,M2_b,2,2,0.17852427538096127,0.10997526653099166
board,It was the ironing board.,It was the wooden board.,True,Polysemy,ironing,wooden,M1_a_M1_b,N,2.625,2.5,0.125,8,1.302470181,0.18104279,0.074928045,0.460492749,M1_a,M1_b,3,3,0.026648679449415402,0.041277445675646396
board,It was the executive board.,It was the school board.,True,Polysemy,executive,school,M2_a_M2_b,N,3.666666667,4.0,0.333333333,15,0.6172134,0.236396194,0.067143738,0.159363815,M2_a,M2_b,3,3,0.06004642031870744,0.03923107716947716
book,He had a best-selling book.,He had a heavy book.,False,Polysemy,best-selling,heavy,M1_a_M2_a,N,3.692307692,4.0,0.307692308,13,1.109400392,0.570299804,0.085380137,0.307692308,M1_a,M2_a,3,3,0.06751850194268394,0.07202932799235917
book,He had a best-selling book.,He had a leather-bound book.,False,Polysemy,best-selling,leather-bound,M1_a_M2_b,N,3.357142857,4.0,0.642857143,14,1.081817762,0.269021332,0.070268571,0.289127959,M1_a,M2_b,3,3,0.04856735788979527,0.02803266675550764
book,He had a popular book.,He had a heavy book.,False,Polysemy,popular,heavy,M1_b_M2_a,N,4.0,4.0,0.0,11,0.0,0.216969311,0.091368973,0.0,M1_b,M2_a,3,3,0.03499746593923703,0.04605549887666005
book,He had a popular book.,He had a leather-bound book.,False,Polysemy,popular,leather-bound,M1_b_M2_b,N,3.818181818,4.0,0.181818182,11,0.603022689,0.615868211,0.103061438,0.181818182,M1_b,M2_b,3,3,0.026508246947658298,0.04694303405291411
book,He had a best-selling book.,He had a popular book.,True,Polysemy,best-selling,popular,M1_a_M1_b,N,4.0,4.0,0.0,12,0.0,0.498813987,0.04464519,0.0,M1_a,M1_b,4,4,0.028434330861682677,0.04837504125217407
book,He had a heavy book.,He had a leather-bound book.,True,Polysemy,heavy,leather-bound,M2_a_M2_b,N,3.75,4.0,0.25,16,0.683130051,0.516257912,0.095530927,0.170782513,M2_a,M2_b,4,4,0.039480708238156303,0.05564312413209538
break,He broke the glass.,He broke the law.,False,Polysemy,glass,law,M1_a_M2_a,V,1.733333333,2.0,0.266666667,15,1.032795559,0.357050598,0.126903534,0.266666667,M1_a,M2_a,2,2,0.15298016821442673,0.0387308069336344
break,He broke the glass.,He broke the promise.,False,Polysemy,glass,promise,M1_a_M2_b,V,2.357142857,3.0,0.642857143,14,1.008208072,0.405449092,0.115515828,0.269454941,M1_a,M2_b,2,2,0.17754197539708372,0.13917153797888338
break,He broke the dish.,He broke the law.,False,Polysemy,dish,law,M1_b_M2_a,V,2.3,2.5,0.2,10,1.33749351,0.427916944,0.191336215,0.422952585,M1_b,M2_a,2,2,0.0811199383910719,0.05481094328109337
break,He broke the dish.,He broke the promise.,False,Polysemy,dish,promise,M1_b_M2_b,V,2.3,3.0,0.7,10,1.33749351,0.477100194,0.155141354,0.422952585,M1_b,M2_b,2,2,0.08854986627650874,0.1425070742874559
break,He broke the glass.,He broke the dish.,True,Polysemy,glass,dish,M1_a_M1_b,V,4.0,4.0,0.0,15,0.0,0.132749021,0.09671092,0.0,M1_a,M1_b,4,4,0.028106855942598985,0.01000479913407848
break,He broke the law.,He broke the promise.,True,Polysemy,law,promise,M2_a_M2_b,V,3.692307692,4.0,0.307692308,13,0.480384461,0.33742106,0.082362115,0.133234678,M2_a,M2_b,3,3,0.07179001329108814,0.18350341907227397
breakfast,They ate a pancake breakfast.,They ate a family breakfast.,False,Polysemy,pancake,family,M1_a_M2_a,N,3.785714286,4.0,0.214285714,14,0.578934224,0.067232728,0.018507063,0.15472668,M1_a,M2_a,4,4,0.010861455511849694,0.017172678740394298
breakfast,They ate a pancake breakfast.,They ate a lonely breakfast.,False,Polysemy,pancake,lonely,M1_a_M2_b,N,3.941176471,4.0,0.058823529,17,0.242535625,0.121421158,0.046943903,0.058823529,M1_a,M2_b,3,3,0.03547895798679457,0.011927073340626815
breakfast,They ate a nutritious breakfast.,They ate a family breakfast.,False,Polysemy,nutritious,family,M1_b_M2_a,N,3.666666667,4.0,0.333333333,12,1.154700538,0.09598124,0.047627091,0.333333333,M1_b,M2_a,3,3,0.014298808986860756,0.009953209762632587
breakfast,They ate a nutritious breakfast.,They ate a lonely breakfast.,False,Polysemy,nutritious,lonely,M1_b_M2_b,N,3.333333333,4.0,0.666666667,9,1.118033989,0.055151522,0.046446443,0.372677996,M1_b,M2_b,3,3,0.029523575557096726,0.012422842520490196
breakfast,They ate a pancake breakfast.,They ate a nutritious breakfast.,True,Polysemy,pancake,nutritious,M1_a_M1_b,N,4.0,4.0,0.0,5,0.0,0.092728674,0.054914415,0.0,M1_a,M1_b,4,4,0.02296969319549058,0.011015284838455486
breakfast,They ate a family breakfast.,They ate a lonely breakfast.,True,Polysemy,family,lonely,M2_a_M2_b,N,3.8,4.0,0.2,20,0.615587011,0.090344608,0.033118784,0.13764944,M2_a,M2_b,4 (same meaning),4,0.03391993478577515,0.009293427323164072
call,They called the landlord.,They called the loan.,False,Polysemy,landlord,loan,M1_a_M2_a,V,1.222222222,1.0,0.222222222,9,0.833333333,0.267129362,0.121238768,0.277777778,M1_a,M2_a,3,3,0.011870634524944856,0.04694303405291411
call,They called the landlord.,They called the debt.,False,Polysemy,landlord,debt,M1_a_M2_b,V,1.3,1.0,0.3,10,1.418136492,0.379179537,0.13010782,0.448454135,M1_a,M2_b,3,3,0.035587443293705556,0.04694303405291411
call,They called the police.,They called the loan.,False,Polysemy,police,loan,M1_b_M2_a,V,1.357142857,1.5,0.142857143,14,1.081817762,0.341154635,0.263126612,0.289127959,M1_b,M2_a,3,3,0.04083760026913341,0.020189788535104225
call,They called the police.,They called the debt.,False,Polysemy,police,debt,M1_b_M2_b,V,1.0,1.0,0.0,16,1.032795559,0.464733362,0.304124057,0.25819889,M1_b,M2_b,3,3,0.07045281580866969,0.020189788535104225
call,They called the landlord.,They called the police.,True,Polysemy,landlord,police,M1_a_M1_b,V,3.866666667,4.0,0.133333333,15,0.351865775,0.191510439,0.170996845,0.090851353,M1_a,M1_b,4,4,0.04137003018530827,0.045017495001748564
call,They called the loan.,They called the debt.,True,Polysemy,loan,debt,M2_a_M2_b,V,3.076923077,3.0,0.076923077,13,1.037749043,0.148041427,0.068140984,0.287819799,M2_a,M2_b,4,4,0.02537373406768051,0.0
cape,It was a red cape.,It was a rocky cape.,False,Homonymy,red,rocky,M1_a_M2_a,N,0.090909091,0.0,0.090909091,11,0.301511345,0.281921923,0.080481112,0.090909091,M1_a,M2_a,3,3,0.0628415832373378,0.14176824613546002
cape,It was a red cape.,It was an island cape.,False,Homonymy,red,island,M1_a_M2_b,N,0.181818182,0.0,0.181818182,11,0.404519917,0.380894959,0.073402226,0.121967344,M1_a,M2_b,2,2,0.06925014585689693,0.19449720933896708
cape,It was a flowing cape.,It was a rocky cape.,False,Homonymy,flowing,rocky,M1_b_M2_a,N,1.0,1.0,0.0,11,1.264911064,0.272568762,0.072089553,0.381385036,M1_b,M2_a,3,3,0.035890846993863135,0.08582589966993392
cape,It was a flowing cape.,It was an island cape.,False,Homonymy,flowing,island,M1_b_M2_b,N,0.428571429,0.0,0.428571429,14,0.937614462,0.364672005,0.081994772,0.250588006,M1_b,M2_b,2,2,0.040969478318723884,0.14199190877044487
cape,It was a red cape.,It was a flowing cape.,True,Homonymy,red,flowing,M1_a_M1_b,N,3.266666667,4.0,0.733333333,15,1.222799287,0.081663668,0.065949082,0.315725418,M1_a,M1_b,4,4,0.021092855694967105,0.04314045830679247
cape,It was a rocky cape.,It was an island cape.,True,Homonymy,rocky,island,M2_a_M2_b,N,2.866666667,3.0,0.133333333,15,1.245945806,0.092699349,0.054765403,0.321701824,M2_a,M2_b,4,4,0.05636935564096024,0.0438171125324851
case,It was a beer case.,It was a divorce case.,False,Homonymy,beer,divorce,M1_a_M2_a,N,0.166666667,0.0,0.166666667,18,0.514495755,0.45721215,0.069611669,0.121267813,M1_a,M2_a,2,2,0.17074683946437796,0.3912192224718989
case,It was a beer case.,It was a criminal case.,False,Homonymy,beer,criminal,M1_a_M2_b,N,0.4,0.0,0.4,10,0.699205899,0.469730914,0.093788862,0.221108319,M1_a,M2_b,2,2,0.192760338372587,0.3912192224718989
case,It was a display case.,It was a divorce case.,False,Homonymy,display,divorce,M1_b_M2_a,N,0.25,0.0,0.25,12,0.452267017,0.49239856,0.092166007,0.130558242,M1_b,M2_a,2,2,0.18731402180695778,0.17504208861569448
case,It was a display case.,It was a criminal case.,False,Homonymy,display,criminal,M1_b_M2_b,N,0.363636364,0.0,0.363636364,11,0.504524979,0.471332073,0.091340482,0.152120005,M1_b,M2_b,2,2,0.2532154749625838,0.17504208861569448
case,It was a beer case.,It was a display case.,True,Homonymy,beer,display,M1_a_M1_b,N,1.75,2.0,0.25,12,1.055289706,0.209219635,0.053949893,0.304635898,M1_a,M1_b,2,2,0.07930448973151594,0.27150720361422587
case,It was a divorce case.,It was a criminal case.,True,Homonymy,divorce,criminal,M2_a_M2_b,N,3.928571429,4.0,0.071428571,14,0.267261242,0.138578296,0.065858305,0.071428571,M2_a,M2_b,3,3,0.055174005787118396,0.0
cast,She cast a shadow.,She cast a spear.,False,Polysemy,shadow,spear,M1_a_M2_a,V,0.909090909,1.0,0.090909091,11,1.221027883,0.222672522,0.137296617,0.368153759,M1_a,M2_a,2,2,0.08824912931267703,0.07115927197435201
cast,She cast a shadow.,She cast a stone.,False,Polysemy,shadow,stone,M1_a_M2_b,V,1.142857143,1.0,0.142857143,14,1.231455852,0.194877267,0.14134413,0.32912042,M1_a,M2_b,2,2,0.06878557997067747,0.09136661026826032
cast,She cast a glow.,She cast a spear.,False,Polysemy,glow,spear,M1_b_M2_a,V,1.461538462,1.0,0.461538462,13,1.391365314,0.262479603,0.146176755,0.385895306,M1_b,M2_a,2,2,0.05709608762625662,0.0819154412768156
cast,She cast a glow.,She cast a stone.,False,Polysemy,glow,stone,M1_b_M2_b,V,0.941176471,1.0,0.058823529,17,1.028991511,0.268744171,0.148141026,0.249567099,M1_b,M2_b,2,2,0.05499402021544064,0.08613243708828111
cast,She cast a shadow.,She cast a glow.,True,Polysemy,shadow,glow,M1_a_M1_b,V,3.285714286,4.0,0.714285714,7,0.951189731,0.15237397,0.058177471,0.359515925,M1_a,M1_b,3,3,0.045850237017483364,0.041532323402953986
