word,sentence,Foot_leg,Hand_arm,Head,Mouth_throat,Torso
class,It was a perceptive class.,0,2,3,0,0
class,It was a stimulating class.,0,1,4,0,0
clear,He cleared the desk.,1,4,1,0,1
clear,He cleared the path.,4,4,1,1,2
clear,He cleared the road.,2,4,1,0,2
clear,He cleared the shelf.,0,4,1,0,1
clip,It was a film clip.,0,1,1,1,0
clip,It was a hair clip.,0,4,4,2,0
clip,It was a metal clip.,1,2,1,3,0
clip,It was a video clip.,0,1,1,1,0
clog,The choreographer clogged.,4,2,1,1,2
clog,The dancer clogged.,4,1,1,0,2
clog,The pipe clogged.,1,2,1,1,0
clog,The sink clogged.,1,2,1,1,1
cold,It was a chest cold.,0,2,3,2,4
cold,It was a common cold.,1,2,3,3,2
cold,It was a freezing cold.,1,2,2,1,3
cold,It was an icy cold.,1,2,2,1,2
column,It was a concrete column.,1,1,1,0,1
column,It was a gossip column.,0,1,0,0,0
column,It was a marble column.,1,1,1,0,1
column,It was a sports column.,0,1,0,0,0
company,He liked the investment company.,0,1,1,0,0
company,He liked the pharmaceutical company.,0,1,1,0,0
company,He liked the pleasant company.,0,1,1,1,1
company,He liked the polite company.,0,1,1,1,1
cone,It was a sugar cone.,1,2,1,4,1
cone,It was a traffic cone.,1,1,1,1,1
cone,It was a waffle cone.,1,2,1,4,1
cone,It was an orange cone.,1,1,1,1,1
contribution,He made a charitable contribution.,0,2,1,1,0
contribution,He made a scholarly contribution.,0,1,2,1,0
contribution,He made a voluntary contribution.,0,1,1,1,0
contribution,He made a well-written contribution.,0,1,2,0,0
count,That was the correct count.,0,2,2,0,0
count,That was the final count.,0,2,2,1,0
count,That was the noble count.,0,1,1,0,0
count,That was the vengeful count.,0,1,1,0,0
course,It was a charted course.,1,1,1,0,1
course,It was a collision course.,1,1,1,0,1
course,It was a pass-fail course.,0,1,2,0,0
course,It was an introductory course.,0,1,2,0,0
cross,He crossed a friend.,4,1,1,1,2
cross,He crossed a road.,4,1,1,0,3
cross,He crossed a room.,4,1,1,0,3
cross,He crossed an enemy.,4,2,1,0,2
date,It was a blind date.,0,1,2,2,1
date,It was a dinner date.,1,2,2,4,1
date,It was a historical date.,0,1,1,1,0
date,It was an expiration date.,0,1,1,1,0
degree,It was about associate degrees.,0,1,1,0,0
degree,It was about college degrees.,0,1,1,0,0
degree,It was about fifty degrees.,0,1,1,0,0
degree,It was about forty degrees.,0,0,1,0,0
design,They liked the architectural design.,0,1,2,0,0
design,They liked the floral design.,0,2,1,0,0
design,They liked the geometric design.,0,1,2,0,0
design,They liked the product design.,0,2,2,0,0
dinner,They liked the anniversary dinner.,0,2,1,5,3
dinner,They liked the formal dinner.,0,2,2,4,3
dinner,They liked the light dinner.,0,2,2,4,3
dinner,They liked the turkey dinner.,0,2,1,5,2
drain,They drained the account.,0,1,1,0,0
drain,They drained the budget.,0,1,1,0,0
drain,They drained the pond.,1,1,1,1,1
drain,They drained the pool.,1,1,1,0,1
draw,He drew a gun.,1,4,1,1,2
draw,He drew a sword.,1,4,2,1,3
draw,He drew a tree.,1,4,2,0,1
draw,They drew a picture.,1,4,2,0,1
dream,He had a bad dream.,0,0,4,0,0
dream,He had a career dream.,0,1,4,0,0
dream,He had a childhood dream.,0,2,4,0,0
dream,He had a recurring dream.,0,4,4,0,0
drill,It was a battery-powered drill.,1,4,1,0,2
drill,It was a challenging drill.,1,4,1,1,2
drill,It was a grueling drill.,2,3,1,1,3
drill,It was an electric drill.,1,4,1,0,1
examination,It was a difficult examination.,0,2,4,1,0
examination,It was a multiple-choice examination.,0,2,4,1,0
examination,It was a physical examination.,0,3,2,1,1
examination,It was a prostate examination.,0,2,2,0,1
fan,They had a ceiling fan.,0,1,1,0,1
fan,They had a zealous fan.,1,2,1,1,1
fan,They had an electric fan.,0,1,1,1,1
fan,They had an enthusiastic fan.,0,2,1,1,1
file,She had a data file.,0,1,1,0,0
file,She had a nail file.,1,2,1,0,0
file,She had a steel file.,1,2,1,0,1
file,She had a text file.,0,1,1,0,0
film,It was a censored film.,0,1,1,1,0
film,It was a plastic film.,1,2,1,2,0
film,It was a transparent film.,0,1,1,1,0
film,It was an action film.,0,1,1,0,1
fix,They fixed the date.,0,2,1,1,0
fix,They fixed the dishwasher.,0,4,2,1,1
fix,They fixed the price.,0,2,1,1,1
fix,They fixed the radio.,0,4,2,1,1
foundation,It was a charitable foundation.,0,1,1,0,0
foundation,It was a concrete foundation.,1,1,1,0,1
foundation,It was a wooden foundation.,1,1,1,0,1
foundation,It was an educational foundation.,0,1,1,0,0
function,It was a business function.,0,1,1,0,1
function,It was a linear function.,0,1,1,0,0
function,It was a mathematical function.,0,1,2,0,0
function,It was a social function.,0,1,2,1,1
ground,He was on the camp ground.,4,1,0,0,1
ground,He was on the firm ground.,4,1,0,0,1
ground,He was on the frozen ground.,4,1,1,0,2
ground,He was on the parade ground.,4,1,0,0,1
guard,They liked the coast guard.,1,2,2,1,2
guard,They liked the national guard.,1,2,1,1,2
guard,They liked the night guard.,1,2,2,1,2
guard,They liked the security guard.,1,2,2,1,2
guide,He had a TV guide.,0,2,1,1,1
guide,He had a friendly guide.,1,2,2,1,1
guide,He had a talkative guide.,1,2,2,2,1
guide,He had an assembly guide.,1,3,2,1,1
hail,They hailed a cab.,0,4,2,1,1
hail,They hailed a friend.,0,3,2,1,1
hail,They hailed a guest.,1,4,1,1,1
hail,They hailed a taxi.,0,4,2,1,1
home,It was a childhood home.,1,1,1,1,1
home,It was a funeral home.,1,1,1,1,1
home,It was a nursing home.,1,1,1,1,1
home,It was a summer home.,1,1,1,1,1
intelligence,They had classified intelligence.,0,1,4,0,0
intelligence,They had innate intelligence.,0,4,4,0,0
intelligence,They had military intelligence.,0,4,4,0,0
intelligence,They had natural intelligence.,0,4,4,0,0
issue,It was a political issue.,0,1,1,1,0
issue,It was a sensitive issue.,0,1,1,0,0
issue,It was a special issue.,0,1,1,0,0
issue,It was a weekly issue.,0,1,1,0,0
jam,It was a blackberry jam.,0,2,1,4,1
jam,It was a paper jam.,1,2,1,2,0
jam,It was a peach jam.,0,2,1,4,1
jam,It was a traffic jam.,1,1,1,2,1
key,It was a backspace key.,0,2,1,0,0
key,It was a delete key.,0,2,1,0,0
key,It was a duplicate key.,0,2,1,1,0
key,It was a master key.,1,2,1,1,0
lamb,They liked the cute lamb.,1,2,1,2,1
lamb,They liked the friendly lamb.,1,2,1,3,1
lamb,They liked the grilled lamb.,0,2,1,4,1
lamb,They liked the marinated lamb.,0,2,1,4,1
lap,She lapped the competitors.,4,2,1,0,4
lap,She lapped the milk.,0,2,2,4,2
lap,She lapped the runners.,4,2,2,2,4
lap,She lapped the water.,0,3,2,4,2
load,She loaded the gun.,0,4,1,0,1
load,She loaded the rifle.,0,4,1,0,2
load,She loaded the truck.,1,4,1,0,3
load,She loaded the van.,1,4,1,0,3
lock,She had brown locks.,0,2,2,1,0
lock,She had curly locks.,0,2,2,1,0
lock,She had door locks.,1,2,1,0,0
lock,She had window locks.,1,2,1,1,0
lunch,They liked the afternoon lunch.,0,2,2,4,3
lunch,They liked the hot lunch.,0,2,1,4,3
lunch,They liked the sandwich lunch.,0,2,2,4,2
lunch,They liked the women's lunch.,0,2,1,4,2
market,He liked the fish market.,1,1,1,1,1
market,He liked the flea market.,1,2,1,1,1
market,He liked the housing market.,1,1,1,0,1
market,He liked the stock market.,0,1,1,0,0
match,It was a burning match.,1,2,1,1,0
match,It was a lit match.,1,2,1,1,0
match,It was a soccer match.,4,2,2,1,3
match,It was a tennis match.,2,3,2,1,2
medicine,It was cough medicine.,0,2,2,4,2
medicine,It was orthopedic medicine.,1,3,2,3,2
medicine,It was prescription medicine.,0,2,2,4,2
medicine,It was veterinary medicine.,1,2,2,4,1
message,There was a clear message.,0,2,2,1,0
message,There was a computer message.,0,2,3,1,0
message,There was a phone message.,0,3,3,2,0
message,There was an urgent message.,0,2,2,2,0
mold,It was a clay mold.,1,2,1,1,1
mold,It was a fungal mold.,1,1,1,1,0
mold,It was a harmful mold.,1,1,1,1,0
mold,It was a rubber mold.,1,2,1,1,1
mole,She saw the cancerous mole.,0,1,1,0,0
mole,She saw the cute mole.,0,1,1,0,0
mole,She saw the fast mole.,1,1,1,0,0
mole,She saw the raised mole.,0,0,0,0,0
movement,He liked the civil-rights movement.,2,2,2,0,2
movement,He liked the feminist movement.,3,2,2,0,3
movement,He liked the graceful movement.,4,2,2,1,3
movement,He liked the rhythmic movement.,4,3,2,0,4
newspaper,It was a daily newspaper.,0,3,2,1,0
newspaper,It was a faded newspaper.,1,2,2,1,0
newspaper,It was a national newspaper.,0,3,2,1,0
newspaper,It was a shredded newspaper.,1,2,2,1,0
orange,It was a bright orange.,0,1,1,2,1
orange,It was a juicy orange.,1,4,2,4,1
orange,It was a reddish orange.,0,1,1,4,0
orange,It was a ripe orange.,1,2,1,4,0
page,He saw the blank page.,0,2,1,0,0
page,He saw the loyal page.,0,1,1,0,0
page,He saw the ripped page.,0,2,1,0,0
page,He saw the young page.,0,1,2,0,0
palm,It was a calloused palm.,0,4,1,0,0
palm,It was a tree palm.,0,2,0,0,1
palm,It was a tropical palm.,0,2,1,0,1
palm,It was a wrinkled palm.,0,4,0,0,0
panel,It was a consumer panel.,0,1,1,0,1
panel,It was a control panel.,0,3,1,0,1
panel,It was an advisory panel.,0,1,1,0,0
panel,It was an instrument panel.,0,2,1,0,1
passage,It was a biblical passage.,0,1,2,1,1
passage,It was a literary passage.,0,1,1,0,0
passage,It was a narrow passage.,2,1,1,0,2
passage,It was a secret passage.,2,1,1,0,2
pen,She penned her animals.,0,4,1,0,1
pen,She penned her livestock.,1,4,1,0,1
pen,She penned her memoirs.,0,4,2,0,0
pen,She penned her thoughts.,0,4,2,1,1
perch,It was a freshwater perch.,1,1,1,4,1
perch,It was a lofty perch.,2,2,1,0,2
perch,It was a secure perch.,3,1,1,1,2
perch,It was a tasty perch.,1,1,1,4,1
pick,He picked his coffee.,0,4,1,1,1
pick,He picked his dinner.,1,4,1,4,1
pick,He picked his nose.,0,4,4,0,0
pick,He picked his scab.,0,4,1,0,1
pitcher,He saw the fast pitcher.,1,4,1,1,4
pitcher,He saw the glass pitcher.,0,4,1,1,2
pitcher,He saw the plastic pitcher.,0,3,1,2,2
pitcher,He saw the right-handed pitcher.,1,4,1,0,3
poach,She poached the bear.,2,4,2,1,2
poach,She poached the deer.,3,4,2,1,2
poach,She poached the eggs.,0,4,2,1,1
poach,She poached the vegetables.,0,3,1,1,1
port,It was a delicious port.,0,2,2,4,1
port,It was a seaside port.,1,1,1,0,1
port,It was a sweet port.,0,1,1,4,1
port,It was a windy port.,1,1,1,0,1
position,He was in a distinguished position.,1,1,1,0,2
position,He was in a fetal position.,2,2,2,0,3
position,He was in a prominent position.,1,1,1,0,2
position,He was in a yoga position.,4,2,2,0,4
post,It was a challenging post.,1,1,1,0,1
post,It was a fence post.,2,2,1,1,1
post,It was a teaching post.,0,2,2,1,1
post,It was a wooden post.,1,1,1,0,1
punch,He had the alcoholic punch.,0,2,1,4,2
punch,He had the fruit punch.,0,2,0,4,1
punch,He had the quickest punch.,1,4,1,0,3
punch,He had the strongest punch.,1,4,1,0,4
pupil,She had a brilliant pupil.,0,1,4,0,0
pupil,She had a cloudy pupil.,0,2,4,0,0
pupil,She had a dilated pupil.,0,2,4,0,0
pupil,She had an interested pupil.,0,1,4,0,0
push,He pushed the bed.,4,4,1,0,4
push,He pushed the cocaine.,1,4,1,0,1
push,He pushed the desk.,1,4,1,0,3
push,He pushed the drugs.,1,4,1,0,2
racket,That was a badminton racket.,1,4,1,0,2
racket,That was a loud racket.,1,2,1,1,1
racket,That was a tennis racket.,1,4,1,0,2
racket,That was an annoying racket.,1,2,1,1,1
rock,He liked alternative rock.,1,2,2,1,2
rock,He liked electronic rock.,2,2,2,1,2
rock,He liked granite rock.,1,1,1,0,1
rock,He liked limestone rock.,1,1,1,0,1
run,She ran the company.,2,1,1,1,3
run,She ran the marathon.,4,1,1,1,4
run,She ran the race.,5,1,1,0,4
run,She ran the shop.,4,1,1,1,4
sage,He saw the bushy sage.,1,1,1,1,1
sage,He saw the fragrant sage.,0,1,1,4,1
sage,He saw the renowned sage.,0,1,2,1,0
sage,He saw the wise sage.,0,1,4,1,0
scale,It was a fish scale.,1,1,1,2,1
scale,It was a lizard scale.,1,1,1,1,1
scale,It was a major scale.,1,2,2,2,1
scale,It was a music scale.,1,2,3,3,1
scene,It was a nature scene.,1,1,1,0,1
scene,It was a panoramic scene.,0,1,1,0,1
scene,It was a touching scene.,0,1,1,0,0
scene,It was a well-acted scene.,0,1,2,0,0
seal,It was a certified seal.,1,1,1,1,1
seal,It was a circus seal.,1,2,1,2,2
seal,It was a gold seal.,1,1,1,1,1
seal,It was a trained seal.,1,1,1,2,2
serve,She served a lasagna.,0,4,1,1,1
serve,She served a pie.,1,4,1,1,1
serve,She served a summons.,1,3,1,1,1
serve,She served a warrant.,1,3,1,1,1
sing,The bird sang.,0,1,4,4,2
sing,The choir sang.,0,4,4,4,3
sing,The cricket sang.,0,4,4,5,2
sing,The girl sang.,0,4,4,4,3
spill,He spilled the drink.,1,3,1,1,1
spill,He spilled the flour.,1,3,1,0,2
spill,He spilled the news.,1,2,1,1,1
spill,He spilled the secret.,1,2,1,2,1
stake,He staked his claim.,2,2,1,1,1
stake,He staked his horse.,2,2,1,0,2
stake,He staked his name.,1,2,1,1,1
stake,He staked his tent.,4,4,1,0,2
stall,They stalled the bus.,3,1,1,0,1
stall,They stalled the horse.,3,1,1,1,1
stall,They stalled the pig.,1,1,1,1,1
stall,They stalled the truck.,4,2,1,0,1
stay,They stayed cold.,0,1,1,0,1
stay,They stayed nearby.,1,1,1,0,1
stay,They stayed overnight.,1,1,1,0,1
stay,They stayed wet.,1,1,1,0,1
tap,He tapped the beer.,2,4,1,2,1
tap,He tapped the drums.,2,4,1,0,1
tap,He tapped the keg.,1,4,1,1,1
tap,He tapped the stick.,2,4,1,0,1
tape,He used the double-sided tape.,0,3,1,1,0
tape,He used the interview tape.,0,3,1,1,0
tape,He used the scotch tape.,1,3,1,1,0
tape,He used the video tape.,0,2,1,1,0
term,It was a fall term.,0,1,1,0,0
term,It was a legal term.,0,1,2,1,0
term,It was a technical term.,0,1,2,0,0
term,It was a winter term.,0,1,1,0,0
tick,It was a clock tick.,0,1,1,1,0
tick,It was a diseased tick.,1,1,1,0,0
tick,It was a parasitic tick.,1,1,2,1,1
tick,It was an audible tick.,0,2,2,1,0
tip,It was a finger tip.,1,4,1,1,0
tip,It was a generous tip.,0,2,1,0,0
tip,It was a pencil tip.,1,2,1,1,0
tip,It was a stingy tip.,0,1,1,1,0
title,She liked the academic title.,0,1,1,0,0
title,She liked the essay title.,0,1,2,0,0
title,She liked the poem title.,0,1,1,1,0
title,She liked the professional title.,0,1,1,1,0
toast,They toasted the bread.,0,3,1,4,1
toast,They toasted the bride.,0,4,1,4,1
toast,They toasted the host.,0,3,1,4,1
toast,They toasted the strudel.,0,3,1,3,1
toll,It was a bell toll.,0,1,1,1,1
toll,It was a costly toll.,0,1,1,0,0
toll,It was a loud toll.,0,1,1,1,0
toll,It was a road toll.,1,1,1,1,0
track,She saw the moose tracks.,4,1,1,0,1
track,She saw the snowshoe tracks.,4,1,1,0,1
track,She saw the train tracks.,1,1,1,0,1
track,She saw the trolley tracks.,1,1,1,0,1
yard,It was five yards.,1,1,0,0,1
yard,It was ten yards.,1,1,0,0,1
yard,They were big yards.,2,1,1,0,1
yard,They were cluttered yards.,2,1,1,0,2
